section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Combined,Set1,Draw2,6,6,4,2,0.0,3,0.0,True,False,False,False,False,False,False,1,3,1,3,0,0,0,0,011:1;066:1,011:2;066:1,8,3,1,0.0,0,0,2,0,0,0,0.0,1,2,4,0,0.0,21.0,34.0,3,False,False,110,032,True,True,True
Evening,Set2,Draw1,6,11,4,3,0.0,4,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,033778:1;0233778:1;03378:1,033877:1;8770332:1;03387:1,8,4,2,0.0,0,0,0,0,0,0,0.0,0,4,0,1,0.0,19.0,31.5,1,True,False,110,032,True,True,True
Evening,Set2,Draw1,4,11,4,2,0.0,4,1.0,True,False,False,False,False,False,False,2,1,2,1,0,12,0,0,03377:1;0223377:1;0337:1,77033:2;7703322:2;7033:2,8,4,1,0.0,0,1,2,0,0,0,0.0,0,2,0,1,0.0,19.0,31.5,1,True,False,110,032,True,True,True
Evening,Set2,Draw1,3,11,4,2,0.0,4,1.0,True,False,False,False,False,True,False,2,1,2,1,0,5,0,0,037:1;02237:1;0223:1,703:2;70322:2;0322:2,8,4,1,0.0,0,1,2,0,0,1,0.0,0,2,0,0,0.0,19.0,31.5,1,False,False,110,032,True,True,True
Evening,Set2,Draw1,5,11,4,2,0.0,4,0.0,True,False,False,False,False,False,False,2,1,2,1,0,0,0,0,03377:1;0223377:1;0337:1,77033:2;7703322:2;7033:2,8,4,1,0.0,0,0,2,0,0,0,0.0,0,2,0,1,0.0,18.0,31.5,1,True,False,110,032,True,True,True
Midday,Set1,Draw3,3,6,3,2,0.0,4,1.0,True,False,False,False,False,False,False,1,4,1,4,0,1,0,0,011:1,011:2,6,4,1,0.0,0,1,2,0,0,0,0.0,1,3,0,0,0.0,18.0,34.0,1,False,False,110,032,True,True,True
Midday,Set1,Draw3,2,6,3,2,0.0,4,1.0,True,False,False,False,False,False,False,1,4,1,4,0,0,1,0,011:1,011:2,6,4,1,0.0,0,1,2,0,0,0,0.0,1,3,0,0,0.0,18.0,34.0,1,False,False,110,032,True,True,True
Combined,Set1,Draw2,5,6,4,2,0.0,3,0.0,True,False,False,False,False,False,False,1,3,1,3,0,0,0,0,011:1;066:1,011:2;066:1,8,3,1,0.0,0,0,2,0,0,0,0.0,1,2,1,0,0.0,18.0,34.0,2,False,False,110,032,True,True,True
Midday,Set1,Draw3,4,6,3,2,0.0,4,0.0,True,False,False,False,False,False,False,1,4,1,4,0,0,0,0,011:1,011:2,6,4,1,0.0,0,0,2,0,0,0,0.0,1,3,1,0,0.0,18.0,34.0,2,False,False,110,032,True,True,True
Combined,Set1,Draw1,2,11,4,3,0.0,3,1.0,True,False,False,False,False,False,False,1,3,1,3,0,0,1,0,028:1,208:2,8,3,2,0.0,0,1,2,0,0,0,0.0,0,2,0,0,0.0,18.0,31.5,1,False,False,110,032,True,True,True
