section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,478,30.0,55.0,24.0,2,6,1,False,7,6,1,0,0,10,0,20,boxed|cov4|hp_repeat3|hot2|perm4|set_chain2|draw_chain6;boxed|cov4|hp_repeat3|hot2|perm4|set_chain2|draw_chain6,set_chain2|draw_chain6|col1x1|hot1x7|hot2x6|vstrx10
Combined,559,5.0,52.0,32.0,2,4,0,False,1,2,3,0,0,7,9,9,straight|cov3|hp_repeat2|vstr2|vstr3|hot1|dom_last|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4;straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x3|hot1x1|hot2x2|vstrx7|dblmirrorx9
Combined,455,5.0,50.5,24.5,2,4,0,False,1,4,4,0,0,7,11,11,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain4;boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4|vstrx7|dblmirrorx11
Combined,468,24.0,48.0,24.5,2,4,0,False,2,6,4,0,0,3,0,11,boxed|cov3|hp_repeat3|hot2|dom_last|perm3|hidden3v|set_chain2|draw_chain4;boxed|cov3|hp_repeat3|hot2|perm3|hidden3v|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x2|hot2x6|vstrx3
Combined,668,18.0,44.5,24.5,1,4,0,False,1,4,4,0,0,0,10,10,boxed|cov4|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain4;boxed|cov4|hp_repeat2|vstr2|hot1|dom_last|perm2|hidden3v|double_mirror|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|dblmirrorx10
Combined,078,11.0,43.0,23.0,3,5,0,False,10,1,0,0,0,3,0,19,boxed|cov4|hp_repeat5|vstr2|hot1|perm3|set_chain3;boxed|cov3|hp_repeat5|hot1|perm3|set_chain3,set_chain3|draw_chain5|hot1x10|hot2x1|vstrx3
Combined,456,9.0,42.5,17.0,1,4,0,False,2,6,4,0,0,11,0,11,straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain4;straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x2|hot2x6|vstrx11
Combined,7,,41.0,28.0,2,0,0,False,4,0,4,2,0,2,0,4,straight|cov4|vstr2|vstr3|cons_full|consensus_tail|hot1|vtrac_straight|set_chain2;straight|cov4|vstr2|vstr3|cons_full|consensus_tail|hot1|vtrac_straight|set_chain2,set_chain2|col1x4|hot1x4|consensusx2|vstrx2
Combined,466,19.0,39.0,17.5,1,3,0,False,1,4,3,0,0,8,8,8,straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain3;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x4|vstrx8|dblmirrorx8
Combined,079,12.0,38.0,22.5,3,5,0,False,4,1,0,0,0,6,0,12,straight|cov2|vstr2|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain5;straight|cov2|hp_repeat5|vstr2|hot1|hidden3v|vtrac_straight|set_chain3,set_chain3|draw_chain5|hot1x4|hot2x1|vstrx6
