section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set1,Draw2,1,445,boxed,36.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,6,544,3,15.0,True,8,6,1,0.0,7,0,0,4,0,4.0,0,0.5,0,0,5,1,6,1,True,boxed|cov4|hp_repeat6|vstr2|vstr3|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain6
Midday,Set1,Draw1,1,577,boxed,36.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,7,577,2,10.0,True,8,7,1,0.0,3,0,0,4,0,4.0,0,0.5,0,4,4,3,5,1,True,boxed|cov4|hp_repeat7|vstr2|hot2|dom_last|perm2|hidden3v|double_mirror|set_chain3|draw_chain5
Combined,Set1,Draw6,1,559,straight,32.0,"R2,R4,R6",False,True,True,False,False,False,False,True,False,1,1,0,2,559,3,5.0,True,6,2,0,0.0,9,0,0,2,0,4.5,0,0.5,2,2,3,2,4,1,True,straight|cov3|hp_repeat2|vstr2|vstr3|hot1|dom_last|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4
Combined,Set1,Draw5,1,559,straight,30.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,3,559,3,5.0,True,6,3,0,0.0,9,0,0,4,0,0.0,0,0.5,2,2,3,2,4,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4
Evening,Set1,Draw2,2,445,boxed,30.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,6,544,3,15.0,True,8,6,1,0.0,7,0,0,2,0,0.0,0,0.5,0,0,5,1,6,1,True,boxed|cov4|hp_repeat6|vstr2|vstr3|hot2|perm2|hidden3v|double_mirror|draw_chain6
Midday,Set1,Draw1,2,577,boxed,30.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,7,577,2,10.0,True,8,7,1,0.0,3,0,0,2,0,0.0,0,0.5,0,4,4,3,5,1,True,boxed|cov4|hp_repeat7|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain5
Midday,Set3,Draw1,1,77,straight,30.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,True,1,1,0,1,77,4,,False,8,1,0,0.0,9,0,6,2,0,1.0,-1,0.0,2,2,0,2,1,0,False,straight|cov4|vstr2|vstr3|cons_full|consensus_tail|hot1|dom_pair|vtrac_straight|set_chain2
Midday,Set2,Draw1,1,77,straight,30.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,True,1,1,0,1,77,4,,False,8,1,0,0.0,9,0,6,2,0,1.0,-1,0.0,2,2,0,2,1,0,False,straight|cov4|vstr2|vstr3|cons_full|consensus_tail|hot1|dom_pair|vtrac_straight|set_chain2
Combined,Set1,Draw5,2,559,straight,28.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1,0,3,559,3,5.0,True,6,3,0,0.0,9,0,0,2,0,0.0,0,0.5,2,2,3,2,4,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4
Combined,Set1,Draw7,1,559,straight,28.5,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,1,0,1,559,3,5.0,True,6,1,0,0.0,9,4,0,0,0,0.0,0,0.5,2,2,3,2,4,1,True,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain4
Evening,Set1,Draw5,1,334,boxed,28.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2,0,3,334,3,33.0,True,8,3,1,0.0,7,0,0,4,0,0.0,0,0.5,0,2,2,2,3,1,True,boxed|cov4|hp_repeat3|vstr2|vstr3|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain3
Midday,Set3,Draw1,3,677,straight,28.5,"R2,R4,R6",False,True,True,False,False,False,False,False,False,1,1,0,5,677,3,20.0,True,6,5,0,0.0,9,0,0,1,0,0.0,0,0.5,2,4,0,3,1,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3
