state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
NewJersey4,2025-06-23,589,145,28,28,13,5,23,8,6,18,3,1,13,3,3,6,22.079,35.35,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vertical5,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,788,34,72,72,20,4,44,14,17,33,7,1,12,3,3,7,20.744,35.25,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,455,15,35,35,11,3,21,4,15,18,4,0,14,3,3,6,20.3,34.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,128,234,42,42,15,4,35,4,19,31,14,0,13,3,3,7,19.882,33.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,445,15,21,21,4,4,16,1,8,15,3,0,12,3,3,7,20.421,32.3,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,688,24,59,59,11,4,35,3,18,23,5,0,0,3,3,7,20.748,31.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,399,45,21,21,4,4,17,3,10,14,0,0,11,3,3,7,21.583,31.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
NewJersey4,2025-06-23,266,23,56,56,18,4,47,9,19,26,0,0,0,3,2,7,19.304,31.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
NewJersey4,2025-06-23,667,23,53,53,18,4,39,7,21,22,0,0,0,3,3,7,18.618,31.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
NewJersey4,2025-06-23,088,14,37,37,4,3,18,2,12,12,3,0,0,3,3,7,19.984,30.65,"col1,funnel_precol1,hot12,hot16,hot20,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,078,134,49,49,7,3,28,2,13,16,7,0,0,3,3,7,17.823,30.65,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,034,145,21,21,3,2,14,1,4,15,7,1,8,3,3,7,20.948,30.45,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,066,12,40,40,21,4,35,12,15,18,1,0,0,3,3,7,17.54,30.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,678,234,75,75,13,4,47,3,22,27,10,0,0,3,3,7,18.846,30.35,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
NewJersey4,2025-06-23,006,12,26,26,8,4,18,4,5,6,0,0,0,3,3,7,17.731,30.1,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_straight"
NewJersey4,2025-06-23,047,135,22,22,0,3,16,0,2,13,4,0,9,3,3,6,20.811,30.0,"funnel_precol1,hot12,hot16,hot20,hot8,literal_draw,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
