section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Combined,Set1,Draw1,1,17,4,2,0.0,7,1.0,True,False,False,True,False,False,True,2,7,2,7,1,0,1,0,266:1,266:2,8,7,1,0.0,0,1,2,0,0,0,0.5,1,8,0,1,0.0,29.5,92.0,1,True,False
Combined,Set1,Draw1,2,17,4,2,0.0,7,1.0,True,True,False,False,False,False,True,2,7,2,7,2,0,2,0,667:1;266:1,667:3;266:2,8,7,1,0.0,0,1,2,4,0,0,0.5,1,8,0,1,0.0,33.5,92.0,1,True,False
Combined,Set1,Draw1,2,20,4,3,0.0,1,1.0,True,False,False,False,False,True,True,1,2,1,2,2,0,2,0,2667:1;267:1,2667:2;672:1,8,1,2,0.0,0,1,2,0,0,1,0.5,0,1,0,0,0.0,16.5,46.0,1,False,False
Combined,Set1,Draw1,3,21,4,4,0.0,5,1.0,True,False,False,False,False,True,True,3,5,3,5,6,0,6,0,6678:1;2668:1;26678:1,6687:2;687:2;2866:1,8,5,3,0.0,0,1,2,0,0,1,0.5,0,8,1,1,0.0,30.5,54.5,2,True,False
Combined,Set1,Draw1,3,18,4,2,0.0,5,1.0,True,False,False,False,False,False,True,2,5,2,5,1,0,1,0,668:1,866:2,8,5,1,0.0,0,1,2,0,0,0,0.5,1,6,1,1,0.0,26.5,63.5,2,True,False
Combined,Set1,Draw1,3,17,3,2,0.0,7,1.0,False,False,False,False,False,True,True,2,7,2,7,2,0,2,0,667:1;266:1,667:1;266:1,6,7,1,0.0,0,1,0,0,0,1,0.5,1,8,0,1,0.0,26.5,92.0,1,True,False
Combined,Set1,Draw1,3,27,1,1,0.0,2,1.0,False,False,False,False,False,True,False,1,1,1,1,0,0,1,0,278:1,872:1,2,2,0,0.0,0,1,0,0,0,1,0.0,0,0,0,0,0.0,6.0,45.0,1,False,False
Combined,Set1,Draw1,4,21,4,4,0.0,5,1.0,True,False,False,False,False,False,True,3,5,3,5,6,6,0,0,6678:1;2668:1;26678:1,6687:2;687:2;2866:1,8,5,3,0.0,0,1,2,0,0,0,0.5,0,8,1,1,0.0,29.5,54.5,2,True,False
Combined,Set1,Draw1,4,18,4,2,0.0,5,1.0,True,False,False,False,False,False,True,2,5,2,5,1,1,0,0,668:1,866:2,8,5,1,0.0,0,1,2,0,0,0,0.5,1,6,1,1,0.0,26.5,63.5,2,True,False
Combined,Set1,Draw1,4,17,3,2,0.0,7,1.0,False,False,False,False,False,False,True,2,7,2,7,2,2,0,0,266:1;667:1,266:1;667:1,6,7,1,0.0,0,1,0,0,0,0,0.5,1,8,0,1,0.0,25.5,92.0,1,True,False
Combined,Set1,Draw1,4,27,1,1,0.0,2,1.0,False,False,False,False,False,False,False,1,1,1,1,0,1,0,0,278:1,872:1,2,2,0,0.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,5.0,45.0,1,False,False
Combined,Set1,Draw1,5,18,4,2,0.0,5,1.0,True,False,False,False,False,False,True,3,5,3,5,4,4,0,0,668:1;1688:1;16688:1,866:2;1886:2;18866:2,8,5,1,0.0,0,1,2,0,0,0,0.5,1,8,1,1,0.0,28.5,63.5,2,True,False
Combined,Set1,Draw1,5,21,4,4,0.0,5,1.0,False,False,False,False,False,False,True,3,5,3,5,29,29,0,0,1266788:1;166788:1;12266788:1,2188667:1;188667:1;22188667:1,8,5,3,0.0,0,1,0,0,0,0,0.5,0,8,1,1,0.0,27.5,54.5,2,True,False
Combined,Set1,Draw1,5,17,3,2,0.0,7,1.0,False,False,False,False,False,False,True,2,7,2,7,2,2,0,0,266:1;667:1,266:1;667:1,6,7,1,0.0,0,1,0,0,0,0,0.5,1,8,0,1,0.0,25.5,92.0,1,True,False
Combined,Set1,Draw1,5,23,4,2,0.0,3,1.0,True,False,False,False,False,False,True,3,3,3,3,2,2,0,0,688:1;188:1,886:2;188:2,8,3,1,0.0,0,1,2,0,0,0,0.5,1,6,1,1,0.0,24.5,69.5,2,True,False
Combined,Set1,Draw1,5,20,4,2,0.0,3,1.0,False,False,False,False,False,False,True,2,3,2,3,5,5,0,0,226:1;2266:1;122:1,226:1;2266:1;221:1,8,3,1,0.0,0,1,0,0,0,0,0.5,1,4,1,0,0.0,19.5,46.0,2,False,False
Combined,Set1,Draw1,5,29,1,1,0.0,3,1.0,False,False,False,False,False,False,False,3,2,3,2,0,1,0,0,788:1,887:1,2,3,0,0.0,0,1,0,0,0,0,0.0,1,5,1,1,0.0,14.0,75.5,2,True,False
Combined,Set1,Draw1,5,26,1,1,0.0,1,1.0,False,False,False,False,False,False,False,1,1,1,1,0,1,0,0,227:1,722:1,2,1,0,0.0,0,1,0,0,0,0,0.0,1,0,0,0,0.0,5.0,11.0,1,False,False
Combined,Set1,Draw1,6,18,4,2,0.0,5,0.0,True,False,False,False,False,False,True,3,5,3,5,4,0,0,0,668:1;1688:1;16688:1,866:2;1886:2;18866:2,8,5,1,0.0,0,0,2,0,0,0,0.5,1,8,4,1,0.0,30.5,63.5,3,True,False
Combined,Set1,Draw1,6,21,4,4,0.0,5,0.0,False,False,False,False,False,False,True,3,5,3,5,21,0,0,0,166788:1;16788:1;178:1,188667:1;68871:1;871:1,8,5,3,0.0,0,0,0,0,0,0,0.5,0,8,4,1,0.0,29.5,54.5,3,True,False
Combined,Set1,Draw1,6,23,4,2,0.0,3,0.0,True,False,False,False,False,False,True,3,3,3,3,2,0,0,0,688:1;188:1,886:2;188:2,8,3,1,0.0,0,0,2,0,0,0,0.5,1,6,4,1,0.0,26.5,69.5,3,True,False
Combined,Set1,Draw1,6,17,2,1,0.0,7,0.0,False,False,False,False,False,False,True,2,7,2,7,2,0,0,0,266:1;667:1,662:1;667:1,4,7,0,0.0,0,0,0,0,0,0,0.5,1,8,1,1,0.0,22.5,92.0,2,True,False
Combined,Set1,Draw1,6,7,4,2,0.0,2,0.0,False,False,False,False,False,False,True,3,4,3,4,8,0,0,0,22566:1;2566:1;157:1,22566:1;2566:1;175:1,8,2,1,0.0,0,0,0,0,0,0,0.5,0,7,1,1,0.0,20.5,42.0,2,True,False
Combined,Set1,Draw1,6,10,4,2,0.0,2,0.0,True,False,False,False,False,False,False,2,3,2,3,0,0,0,0,225:1;257:1;2257:1,522:2;752:1;7522:1,8,2,1,0.0,0,0,2,0,0,0,0.0,1,4,1,0,0.0,19.0,46.0,2,False,False
Combined,Set1,Draw1,6,29,1,1,0.0,3,0.0,False,False,False,False,False,False,False,3,2,3,2,0,0,0,0,788:1,887:1,2,3,0,0.0,0,0,0,0,0,0,0.0,1,5,1,1,0.0,13.0,75.5,2,True,False
Combined,Set1,Draw1,6,20,2,1,0.0,3,0.0,False,False,False,False,False,False,True,1,3,1,3,3,0,0,0,2266:1;226:1;122:1,6622:1;622:1;221:1,4,3,0,0.0,0,0,0,0,0,0,0.5,1,2,1,0,0.0,11.5,46.0,2,False,False
Combined,Set1,Draw1,6,8,1,1,0.0,1,0.0,False,False,False,False,False,False,False,2,2,2,2,0,0,0,0,56688:1;5668:1,56688:1;5668:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,3,4,0,0.0,10.0,52.5,3,False,False
Combined,Set1,Draw1,6,6,1,1,0.0,1,0.0,False,False,False,False,False,False,True,2,2,2,2,1,0,0,0,566:1,566:1,2,1,0,0.0,0,0,0,0,0,0,0.5,1,3,0,0,0.0,7.5,90.5,1,False,False
Combined,Set1,Draw1,7,18,4,2,0.0,5,0.0,True,False,False,False,False,False,True,3,5,3,5,4,0,0,0,668:1;6688:1;1688:1,866:2;8866:2;1886:1,8,5,1,0.0,0,0,2,0,0,0,0.5,1,8,4,1,0.0,30.5,63.5,3,True,False
Combined,Set1,Draw1,7,21,4,3,0.0,5,0.0,False,False,False,False,False,False,True,3,5,3,5,21,0,0,0,166788:1;6678:1;16788:1,188667:1;8667:1;68871:1,8,5,2,0.0,0,0,0,0,0,0,0.5,0,8,4,1,0.0,28.5,54.5,3,True,False
