Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,528,019,984,211,878,255,573
Set3,Draw1,R2,99244113377,924413377,2413377,43377*,4337*,4337*,043*
Set3,Draw1,R4,29933447711,293344771,2334771,33477*,3347*,3347*,034*
Set3,Draw1,R6,11779933244,177933244,1773324,77334*,7334*,7334*,034*
Set3,Draw1,R8,77119933244,771933244,7713324,77334*,7334*,7334*,034*
Set2,Draw1,draw_data,019,984,211,878,255,573,802
Set2,Draw1,R2,924413386677,241336677,4336677,433667*,433667*,4366*,4366*
Set2,Draw1,R4,296683344771,266334771,6633477,663347*,663347*,6634*,6634*
Set2,Draw1,R6,668177933244,661773324,6677334,667334*,667334*,6634*,6634*
Set2,Draw1,R8,771983366244,771336624,7733664,733664*,733664*,3664*,3664*
Set1,Draw1,draw_data,984,211,878,255,573,802,202
Set1,Draw1,R2,52401336677,540336677,54033667*,4033667*,40366**,4366**,4366**
Set1,Draw1,R4,25066334771,506633477,50663347*,0663347*,06634**,6634**,6634**
Set1,Draw1,R6,66177053324,667705334,66705334*,6670334*,66034**,6634**,6634**
Set1,Draw1,R8,77013366245,770336645,70336645*,7033664*,03664**,3664**,3664**
Set1,Draw2,draw_data,N/A,211,878,255,573,802,202
Set1,Draw2,R2,N/A,552403386677,5524033667,4033667*,40366*,4366**,4366**
Set1,Draw2,R4,N/A,255066833477,2550663347,0663347*,06634*,6634**,6634**
Set1,Draw2,R6,N/A,668770553324,6670553324,6670334*,66034*,6634**,6634**
Set1,Draw2,R8,N/A,770833662455,7033662455,7033664*,03664*,3664**,3664**
Set1,Draw3,draw_data,N/A,N/A,878,255,573,802,202
Set1,Draw3,R2,N/A,N/A,559240033667,940033667,9400366*,940366**,94366**
Set1,Draw3,R4,N/A,N/A,255900663347,900663347,9006634*,906634**,96634**
Set1,Draw3,R6,N/A,N/A,667005593324,667009334,6600934*,660934**,66934**
Set1,Draw3,R8,N/A,N/A,700933662455,700933664,0093664*,093664**,93664**
Set1,Draw4,draw_data,N/A,N/A,N/A,255,573,802,202
Set1,Draw4,R2,N/A,N/A,N/A,99440033667,994400366,99440366**,9944366**
Set1,Draw4,R4,N/A,N/A,N/A,99006633447,990066344,99066344**,9966344**
Set1,Draw4,R6,N/A,N/A,N/A,66700993344,660099344,66099344**,6699344**
Set1,Draw4,R8,N/A,N/A,N/A,70099336644,009936644,09936644**,9936644**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,573,802,202
Set1,Draw5,R2,N/A,N/A,N/A,N/A,992440011366,9944011366**,994411366**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,299006634411,9906634411**,996634411**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,661100993244,6611099344**,661199344**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,001199366244,0119936644**,119936644**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,802,202
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,994401138667,99441138667*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,990668344711,99668344711*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,668117099344,66811799344*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,701199836644,71199836644*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,202
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,599441138667
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,599668344711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,668117599344
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,711998366445
