best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
244,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",244,0.558275619135916,0,1.0,combined,1,13.027143,0.9721487193869992,13.027143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
440,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",044,0.5399148845555657,0,1.0,combined,2,11.04381,0.9628916991078758,11.04381,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
224,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.5241478655622194,0,1.0,combined,3,10.99381,0.970980927185882,10.99381,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
940,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",049,0.5531319780689512,0,1.0,combined,4,10.877143,0.9597317672286501,10.877143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
244,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",244,0.5827728443082179,0,1.0,own,5,10.627143,0.9498260756930403,10.627143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
924,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.5592441973847928,0,1.0,combined,6,10.128571,0.9607339660578696,10.128571,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
554,60,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5695462239392289,0,1.0,own,7,9.627143,0.966910392445867,9.627143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
922,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.5531319780689512,0,1.0,combined,8,9.620476,0.9484213366470128,9.620476,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
240,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",024,0.700567142473973,0,1.0,combined,9,9.597143,0.9560229208941606,9.597143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
524,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",245,0.5878295384825115,0,1.0,combined,10,9.587143,0.9363400955076433,9.587143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
554,60,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5374298453437496,0,1.0,combined,11,9.547143,0.9655832183699565,9.547143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
940,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",049,0.4950001666600003,1,1.0,combined,12,9.447143,0.9688073272108433,9.447143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
244,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",244,0.5054164547746076,0,1.0,combined,13,9.237143,0.9654136868601891,9.237143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
924,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.5724041114770214,1,1.0,combined,14,9.157143,0.9572948876779589,9.157143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
552,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.5638167088132781,0,1.0,own,15,9.127143,0.9533669369540613,9.127143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5756643510425494,0,1.0,own,16,8.987143,0.9547139452847009,8.987143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
441,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",144,0.5220689852501704,0,1.0,own,17,8.95381,0.960254514403618,8.95381,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
552,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.536324778855476,0,1.0,combined,18,8.914921,0.957457114804558,8.914921,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
940,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",049,0.5776986807676787,0,1.0,own,19,8.877143,0.940515894540715,8.877143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5572478545985555,0,1.0,combined,20,8.827143,0.955590757832928,8.827143,NorthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
