section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,188,23.0,67.5,23.5,2,7,1,False,10,6,3,0,0,5,30,30,boxed|cov2|hp_repeat6|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain7;boxed|cov2|hp_repeat6|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain7,set_chain2|draw_chain7|col1x3|hot1x10|hot2x6|vstrx5|dblmirrorx30
Combined,388,32.0,64.0,27.0,2,6,0,False,9,6,1,0,0,0,28,28,boxed|cov3|hp_repeat6|vstr2|mirror|hot2|perm2|double_mirror|set_chain2|draw_chain6;boxed|cov3|hp_repeat6|vstr2|mirror|hot2|perm2|double_mirror|set_chain2|draw_chain6,set_chain2|draw_chain6|col1x1|hot1x9|hot2x6|dblmirrorx28
Combined,134,24.0,60.5,24.5,3,6,0,False,12,6,2,0,0,6,0,25,boxed|cov3|hp_repeat4|hot2|perm3|hidden3v|set_chain3|draw_chain6;boxed|cov3|hp_repeat4|hot2|perm3|hidden3v|set_chain3|draw_chain6,set_chain3|draw_chain6|col1x2|hot1x12|hot2x6|vstrx6
Combined,488,33.0,59.5,32.5,1,7,0,False,1,5,7,0,0,4,7,7,boxed|cov4|vstr2|vstr3|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain7;boxed|cov4|vstr2|vstr3|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain7,draw_chain7|col1x7|hot1x1|hot2x5|vstrx4|dblmirrorx7
Combined,138,23.0,59.5,23.5,3,6,0,False,10,6,2,0,0,10,0,22,boxed|cov3|hp_repeat7|mirror|hot1|perm3|hidden3v|set_chain3;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain6,set_chain3|draw_chain6|col1x2|hot1x10|hot2x6|vstrx10
Combined,348,33.0,58.5,25.5,3,6,0,False,5,6,2,0,0,14,0,14,straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain6;straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain6,set_chain3|draw_chain6|col1x2|hot1x5|hot2x6|vstrx14
Combined,688,23.0,58.0,29.5,2,7,0,False,9,1,2,0,0,0,24,24,boxed|cov4|hp_repeat2|vstr2|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain2|draw_chain7;boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain7,set_chain2|draw_chain7|col1x2|hot1x9|hot2x1|dblmirrorx24
Combined,1388,23.0,56.0,26.5,2,6,0,False,9,6,1,0,0,5,0,25,boxed|cov3|hp_repeat6|mirror|hot2|perm3|hidden3v|set_chain2|draw_chain6;boxed|cov3|hp_repeat5|mirror|hot2|perm3|hidden3v|set_chain2|draw_chain6,set_chain2|draw_chain6|col1x1|hot1x9|hot2x6|vstrx5
Combined,1348,24.0,53.0,24.5,3,6,0,False,5,6,2,0,0,5,0,14,boxed|cov3|hp_repeat2|mirror|hot2|perm3|hidden3v|set_chain3|draw_chain6;boxed|cov3|hp_repeat2|mirror|hot2|perm3|hidden3v|set_chain3|draw_chain6,set_chain3|draw_chain6|col1x2|hot1x5|hot2x6|vstrx5
Combined,3488,33.0,53.0,24.5,2,6,0,False,4,6,1,0,0,13,0,13,straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain6;straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain6,set_chain2|draw_chain6|col1x1|hot1x4|hot2x6|vstrx13
Combined,13488,24.0,51.0,26.5,2,6,0,False,4,6,1,0,0,5,0,13,boxed|cov4|hp_repeat2|mirror|hot2|perm4|hidden3v|set_chain2|draw_chain6;boxed|cov4|hp_repeat2|mirror|hot2|perm4|hidden3v|set_chain2|draw_chain6,set_chain2|draw_chain6|col1x1|hot1x4|hot2x6|vstrx5
Combined,133,23.0,50.0,23.5,3,4,0,True,8,0,0,0,0,3,21,21,straight|cov2|hp_repeat6|vstr2|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3;straight|cov2|hp_repeat6|vstr2|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3,set_chain3|draw_chain4|hot1x8|vstrx3|dblmirrorx21
Combined,334,33.0,50.0,23.5,3,4,0,True,8,0,0,0,0,3,21,21,straight|cov2|hp_repeat6|vstr2|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3;straight|cov2|hp_repeat6|vstr2|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3,set_chain3|draw_chain4|hot1x8|vstrx3|dblmirrorx21
Combined,338,32.0,48.0,24.0,3,4,0,False,8,0,0,0,0,0,21,21,boxed|cov3|hp_repeat4|vstr2|mirror|hot1|perm2|double_mirror|set_chain3|draw_chain4;boxed|cov3|hp_repeat4|vstr2|mirror|hot1|perm2|double_mirror|set_chain3|draw_chain4,set_chain3|draw_chain4|hot1x8|dblmirrorx21
Combined,1688,18.0,46.5,24.0,2,7,0,False,9,1,2,0,0,8,0,24,straight|cov1|hp_repeat5|mirror|hot2|vtrac_straight|set_chain2|draw_chain7;straight|cov1|hp_repeat4|mirror|hot1|vtrac_straight|set_chain2|draw_chain7,set_chain2|draw_chain7|col1x2|hot1x9|hot2x1|vstrx8
Combined,889,33.0,46.5,20.5,1,5,0,False,1,4,4,0,0,9,12,12,straight|cov1|hp_repeat4|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x4|hot1x1|hot2x4|vstrx9|dblmirrorx12
Combined,346,24.0,46.0,20.5,3,5,0,False,11,1,1,0,0,10,0,18,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain5;straight|cov1|hp_repeat3|hot1|hidden3v|vtrac_straight|set_chain3|draw_chain5,set_chain3|draw_chain5|col1x1|hot1x11|hot2x1|vstrx10
Combined,336,23.0,46.0,19.5,3,4,0,True,8,0,0,0,0,3,21,21,straight|cov1|hp_repeat6|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3;straight|cov1|hp_repeat6|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3,set_chain3|draw_chain4|hot1x8|vstrx3|dblmirrorx21
Combined,368,23.0,44.0,23.5,3,6,0,False,7,1,1,0,0,7,0,14,boxed|cov3|hp_repeat7|mirror|hot1|perm3|hidden3v|set_chain3;straight|cov1|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain6,set_chain3|draw_chain6|col1x1|hot1x7|hot2x1|vstrx7
Combined,144,25.0,42.0,22.0,3,4,0,False,4,0,1,0,0,2,16,16,straight|cov2|hp_repeat5|vstr2|hot1|double_mirror|vtrac_straight|set_chain3;straight|cov2|hp_repeat5|vstr2|hot1|double_mirror|set_chain3,set_chain3|draw_chain4|col1x1|hot1x4|vstrx2|dblmirrorx16
Combined,3688,23.0,40.5,25.5,2,6,0,False,8,1,0,0,0,0,0,22,boxed|cov3|hp_repeat5|mirror|hot2|perm3|hidden3v|set_chain2|draw_chain6;boxed|cov3|hp_repeat4|mirror|hot1|perm3|hidden3v|set_chain2|draw_chain6,set_chain2|draw_chain6|hot1x8|hot2x1
Combined,344,34.0,39.5,22.0,3,3,0,False,4,0,0,0,0,1,15,15,straight|cov2|hp_repeat5|vstr2|hot1|double_mirror|vtrac_straight|set_chain3;straight|cov2|hp_repeat5|vstr2|hot1|double_mirror|set_chain3,set_chain3|draw_chain3|hot1x4|vstrx1|dblmirrorx15
Combined,244,31.0,39.0,28.5,3,3,0,False,0,0,1,0,0,1,7,7,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain2;straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|set_chain3|draw_chain2,set_chain3|draw_chain3|col1x1|vstrx1|dblmirrorx7
