section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Evening,Set1,Draw1,1,456,boxed,28.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,4,0,3,546,1,9,False,8,3,3,0.0,1,0,0,4,0,3.0,0,0.0,0,4,2,3,3,0,False,boxed|cov4|hp_repeat3|hot2|dom_last|perm4|set_chain3|draw_chain3,456,145,920,145,False,False,True
Evening,Set1,Draw2,1,456,boxed,28.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,4,0,3,546,1,9,False,8,3,3,0.0,1,0,0,4,0,3.0,0,0.0,0,4,2,3,3,0,False,boxed|cov4|hp_repeat3|hot2|dom_last|perm4|set_chain3|draw_chain3,456,145,920,145,False,False,True
Evening,Set1,Draw3,1,456,boxed,28.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,4,0,3,546,1,9,False,8,3,3,0.0,1,0,0,4,0,3.0,0,0.0,0,4,2,3,3,0,False,boxed|cov4|hp_repeat3|hot2|dom_last|perm4|set_chain3|draw_chain3,456,145,920,145,False,False,True
Evening,Set3,Draw1,1,145,boxed,24.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,3,0,2,541,2,9,False,8,2,2,0.0,3,0,0,2,0,3.0,0,0.0,0,4,0,3,1,0,False,boxed|cov4|hp_repeat2|vstr2|hot1|dom_last|perm3|set_chain3,145,145,920,145,True,False,True
Evening,Set2,Draw1,1,1455,boxed,24.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,3,0,3,5541,2,9,False,8,3,2,0.0,3,0,0,2,0,3.0,1,0.0,0,2,0,2,1,0,False,boxed|cov4|hp_repeat3|vstr2|hot1|dom_last|perm3|set_chain2,1455,145,920,145,False,False,True
Evening,Set1,Draw1,3,14556,boxed,23.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,2,4,0,2,55416,1,9,False,8,2,3,0.0,1,0,0,2,1,0.0,2,0.0,0,2,2,2,3,0,False,boxed|cov4|hp_repeat2|mirror|hot2|perm4|set_chain2|draw_chain3,14556,145,920,145,False,False,True
Evening,Set1,Draw1,2,14556,boxed,23.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,2,4,0,2,55416,1,9,False,8,2,3,0.0,1,0,0,2,1,0.0,2,0.0,0,2,2,2,3,0,False,boxed|cov4|hp_repeat2|mirror|hot2|perm4|set_chain2|draw_chain3,14556,145,920,145,False,False,True
Evening,Set1,Draw1,4,245,boxed,22.5,"R2,R6,R8",False,True,False,False,False,False,False,False,False,1,2,0,4,524,2,12,True,6,4,1,0.0,3,0,0,1,0,0.0,0,0.5,0,4,3,3,4,0,False,boxed|cov3|hp_repeat4|vstr2|hot1|perm2|hidden3v|set_chain3|draw_chain4,245,029,920,145,False,False,True
Evening,Set1,Draw2,2,14556,boxed,22.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,2,4,0,1,55416,1,9,False,8,1,3,0.0,1,0,0,2,1,0.0,2,0.0,0,2,2,2,3,0,False,boxed|cov4|mirror|hot2|perm4|set_chain2|draw_chain3,14556,145,920,145,False,False,True
Evening,Set1,Draw3,2,14556,boxed,22.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,2,4,0,1,55416,1,9,False,8,1,3,0.0,1,0,0,2,1,0.0,2,0.0,0,2,2,2,3,0,False,boxed|cov4|mirror|hot2|perm4|set_chain2|draw_chain3,14556,145,920,145,False,False,True
Midday,Set1,Draw4,1,014,straight,21.5,R2,False,False,False,False,False,False,False,False,False,2,1,0,3,401,1,9,True,2,3,0,0.0,3,0,0,4,0,0.0,0,0.5,2,4,3,3,4,0,False,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain4,014,145,920,145,False,False,True
Midday,Set1,Draw5,1,014,straight,21.5,R2,False,False,False,False,False,False,False,False,False,2,1,0,3,401,1,9,True,2,3,0,0.0,3,0,0,4,0,0.0,0,0.5,2,4,3,3,4,0,False,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain4,014,145,920,145,False,False,True
Midday,Set1,Draw5,1,0114,straight,21.5,R2,False,False,False,False,False,False,False,False,False,2,1,0,3,4011,1,9,True,2,3,0,0.0,3,0,0,4,0,0.0,1,0.5,2,4,2,3,3,0,False,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain3,0114,145,920,145,False,False,True
