best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
599,72,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.538672605206508,0,1.0,combined,1,12.937143,0.9850694539943046,12.937143,OntarioCanada4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
559,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5199893401555817,1,1.0,own,2,12.577143,0.9867466055006741,12.577143,OntarioCanada4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
592,78,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.6856801139382539,0,1.0,own,3,12.477143,0.9838359827493492,12.477143,OntarioCanada4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
922,18,"exact,vtrac,family_exact,family_vtrac",229,0.5978865281623102,0,1.0,own,4,12.064643,0.9632691754185185,12.064643,OntarioCanada4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Evening,0
559,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.4887518980531452,1,1.0,combined,5,11.737143,0.9798983722330525,11.737143,OntarioCanada4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
599,72,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5634067862621936,0,1.0,own,6,11.687143,0.9783497218413907,11.687143,OntarioCanada4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
592,78,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.6600087775582009,0,1.0,combined,7,11.677143,0.9838359827493492,11.677143,OntarioCanada4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.4866698262617676,0,1.0,combined,8,11.670476,0.97706414057924,11.670476,OntarioCanada4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5124973964842103,0,1.0,own,9,11.497143,0.9724220229877168,11.497143,OntarioCanada4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
992,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5366010793535907,1,1.0,own,10,11.477143,0.9792925249378165,11.477143,OntarioCanada4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
592,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.5765365248066351,1,1.0,combined,11,11.265714,0.9719913488009098,11.265714,OntarioCanada4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
