section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,009,5.0,93.5,32.5,3,7,0,False,14,11,9,0,0,1,42,42,boxed|cov3|hp_repeat7|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7;boxed|cov4|hp_repeat7|vstr2|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain3,set_chain3|draw_chain7|col1x9|hot1x14|hot2x11|vstrx1|dblmirrorx42
Combined,005,1.0,88.5,29.0,3,7,0,False,11,8,6,0,0,18,36,36,straight|cov1|hp_repeat6|mirror|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain7;straight|cov1|hp_repeat5|mirror|hot2|double_mirror|vtrac_straight|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x6|hot1x11|hot2x8|vstrx18|dblmirrorx36
Combined,004,5.0,84.5,28.5,3,7,0,False,7,11,7,0,0,9,35,35,boxed|cov2|hp_repeat7|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7;boxed|cov2|hp_repeat6|hot2|perm2|hidden3v|double_mirror|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x7|hot1x7|hot2x11|vstrx9|dblmirrorx35
Combined,0049,5.0,72.5,35.5,3,5,0,False,5,9,5,0,0,5,0,20,boxed|cov4|hp_repeat5|vstr2|mirror|hot2|dom_last|perm3|hidden3v|set_chain3|draw_chain5;boxed|cov4|hp_repeat5|vstr2|mirror|hot2|perm3|hidden3v|set_chain3|draw_chain5,set_chain3|draw_chain5|col1x5|hot1x5|hot2x9|vstrx5
Combined,0059,5.0,68.5,26.5,3,7,0,False,10,8,6,0,0,5,0,30,boxed|cov4|hp_repeat6|vstr2|mirror|hot1|perm3|hidden3v|set_chain3;boxed|cov4|hp_repeat6|vstr2|mirror|hot1|perm3|hidden3v|set_chain3,set_chain3|draw_chain7|col1x6|hot1x10|hot2x8|vstrx5
Combined,059,5.0,67.5,25.5,3,7,0,False,10,8,6,0,0,5,0,30,boxed|cov4|hp_repeat6|vstr2|mirror|hot1|perm3|hidden3v|set_chain3;boxed|cov4|hp_repeat6|vstr2|mirror|hot1|perm3|hidden3v|set_chain3,set_chain3|draw_chain7|col1x6|hot1x10|hot2x8|vstrx5
Combined,599,15.0,53.5,29.5,2,5,0,True,7,0,0,0,0,4,19,19,straight|cov3|hp_repeat4|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5;straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5,set_chain2|draw_chain5|hot1x7|vstrx4|dblmirrorx19
Combined,00459,5.0,52.5,29.5,2,4,0,False,1,6,4,0,0,4,0,9,boxed|cov4|hp_repeat2|mirror|hot2|dom_last|perm4|hidden3v|set_chain2|draw_chain4;boxed|cov4|hp_repeat2|mirror|hot2|perm4|hidden3v|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x6|vstrx4
Combined,099,15.0,49.5,24.5,2,5,0,False,8,1,0,0,0,1,21,21,boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|set_chain2|draw_chain5;boxed|cov4|hp_repeat6|vstr2|hot1|perm2|hidden3v|double_mirror|set_chain2,set_chain2|draw_chain5|hot1x8|hot2x1|vstrx1|dblmirrorx21
Combined,049,15.0,48.5,25.5,3,2,0,False,5,5,2,0,0,2,0,16,boxed|cov3|hp_repeat5|vstr2|mirror|hot2|perm2|hidden3v|set_chain3|draw_chain2;boxed|cov3|hp_repeat5|vstr2|mirror|hot2|perm2|hidden3v|set_chain3|draw_chain2,set_chain3|draw_chain2|col1x2|hot1x5|hot2x5|vstrx2
Combined,259,12.0,48.5,23.5,2,5,0,False,2,6,5,0,0,3,0,13,boxed|cov3|hp_repeat3|vstr2|hot2|perm2|hidden3v|set_chain2|draw_chain5;boxed|cov3|hp_repeat3|vstr2|hot2|perm2|hidden3v|set_chain2|draw_chain5,set_chain2|draw_chain5|col1x5|hot1x2|hot2x6|vstrx3
Combined,006,2.0,48.0,25.0,3,6,0,False,2,2,0,0,0,2,18,18,boxed|cov3|hp_repeat3|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain6;boxed|cov3|hp_repeat2|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain6,set_chain3|draw_chain6|hot1x2|hot2x2|vstrx2|dblmirrorx18
Combined,229,28.0,47.5,29.5,2,3,0,False,1,2,3,0,0,6,7,7,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain3;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain3|col1x3|hot1x1|hot2x2|vstrx6|dblmirrorx7
Combined,224,28.0,47.5,29.5,2,3,0,False,1,2,3,0,0,6,7,7,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain3;straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain3|col1x3|hot1x1|hot2x2|vstrx6|dblmirrorx7
Combined,0024,12.0,45.5,21.5,2,3,0,False,1,6,3,0,0,9,0,13,straight|cov1|hp_repeat5|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain3;straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain3|col1x3|hot1x1|hot2x6|vstrx9
