Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,318,031,890,805,847,221,211
Set3,Draw1,R2,59220138677,59228677,522677,22677*,2267*,067*,067*
Set3,Draw1,R4,22590683771,22596877,225677,22677*,2267*,067*,067*
Set3,Draw1,R6,68177059322,68775922,677522,67722*,6722*,067*,067*
Set3,Draw1,R8,77019836225,77986225,776225,77622*,7622*,076*,076*
Set2,Draw1,draw_data,031,890,805,847,221,211,678
Set2,Draw1,R2,59922448677,592244677,92244677,922467*,9467*,9467*,094*
Set2,Draw1,R4,22599684477,225964477,22964477,229647*,9647*,9647*,094*
Set2,Draw1,R6,68775992244,677592244,67792244,679224*,6794*,6794*,094*
Set2,Draw1,R8,77998622445,779622445,77962244,796224*,7964*,7964*,094*
Set1,Draw1,draw_data,890,805,847,221,211,678,918
Set1,Draw1,R2,55922446677,5922446677,59224667*,594667*,594667**,5946**,546**
Set1,Draw1,R4,22559664477,2259664477,22596647*,596647*,596647**,5964**,564**
Set1,Draw1,R6,66775592244,6677592244,66759224*,667594*,667594**,6594**,654**
Set1,Draw1,R8,77966224455,7796622445,79662245*,796645*,796645**,9645**,645**
Set1,Draw2,draw_data,N/A,805,847,221,211,678,918
Set1,Draw2,R2,N/A,592244136677,5922413667,5943667*,5943667*,59436**,5436**
Set1,Draw2,R4,N/A,225966344771,2259663471,5966347*,5966347*,59634**,5634**
Set1,Draw2,R6,N/A,661775932244,6617593224,6675934*,6675934*,65934**,6534**
Set1,Draw2,R8,N/A,771936622445,7193662245,7936645*,7936645*,93645**,3645**
Set1,Draw3,draw_data,N/A,N/A,847,221,211,678,918
Set1,Draw3,R2,N/A,N/A,592241133667,594133667,59433667*,594336**,54336**
Set1,Draw3,R4,N/A,N/A,225966334711,596633471,59663347*,596334**,56334**
Set1,Draw3,R6,N/A,N/A,661175933224,661759334,66759334*,659334**,65334**
Set1,Draw3,R8,N/A,N/A,711933662245,719336645,79336645*,933645**,33645**
Set1,Draw4,draw_data,N/A,N/A,N/A,221,211,678,918
Set1,Draw4,R2,N/A,N/A,N/A,59940133667,5994033667,59940336**,5940336**
Set1,Draw4,R4,N/A,N/A,N/A,59906633471,5990663347,59906334**,5906334**
Set1,Draw4,R6,N/A,N/A,N/A,66170599334,6670599334,60599334**,6059334**
Set1,Draw4,R8,N/A,N/A,N/A,70199336645,7099336645,09933645**,0933645**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,211,678,918
Set1,Draw5,R2,N/A,N/A,N/A,N/A,5599400338667,5599400336**,559400336**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,5599006683347,5599006334**,559006334**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,6687005599334,6005599334**,600559334**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,7009983366455,0099336455**,009336455**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,678,918
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,5599440033867,55944003367*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,5599006833447,55900633447*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,6870055993344,67005593344*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,7009983364455,70093364455*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,918
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,559244003367
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,255900633447
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,670055933244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,700933624455
