Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,065,353,413,578,954,041,354
Set3,Draw1,R2,522401133887,224011887,2201887,22018*,22018*,228*,228*
Set3,Draw1,R4,225088334711,220884711,2208871,22081*,22081*,228*,228*
Set3,Draw1,R6,881170533224,881170224,8817022,81022*,81022*,822*,822*
Set3,Draw1,R8,701188332245,701188224,7018822,01822*,01822*,822*,822*
Set2,Draw1,draw_data,353,413,578,954,041,354,667
Set2,Draw1,R2,992240118877,9922018877,99220187,9220187*,92287*,92287*,9228*
Set2,Draw1,R4,229908847711,2299088771,22990871,2290871*,22987*,22987*,2298*
Set2,Draw1,R6,881177099224,8817709922,81709922,8170922*,87922*,87922*,8922*
Set2,Draw1,R8,770119988224,7701998822,70199822,7019822*,79822*,79822*,9822*
Set1,Draw1,draw_data,413,578,954,041,354,667,398
Set1,Draw1,R2,992240188677,9922401867,92201867*,922867*,922867**,9228**,022**
Set1,Draw1,R4,229906884771,2299068471,22906871*,229687*,229687**,2298**,022**
Set1,Draw1,R6,688177099224,6817099224,68170922*,687922*,687922**,8922**,022**
Set1,Draw1,R8,770199886224,7019986224,70198622*,798622*,798622**,9822**,022**
Set1,Draw2,draw_data,N/A,578,954,041,354,667,398
Set1,Draw2,R2,N/A,992240018667,9220018667,92208667*,92208667*,92208**,220**
Set1,Draw2,R4,N/A,229900668471,2290066871,22906687*,22906687*,22908**,220**
Set1,Draw2,R6,N/A,668170099224,6681700922,66870922*,66870922*,80922**,022**
Set1,Draw2,R8,N/A,700199866224,7001986622,70986622*,70986622*,09822**,022**
Set1,Draw3,draw_data,N/A,N/A,954,041,354,667,398
Set1,Draw3,R2,N/A,N/A,92200138667,922038667,92208667*,92208**,220**
Set1,Draw3,R4,N/A,N/A,22900668371,229066837,22906687*,22908**,220**
Set1,Draw3,R6,N/A,N/A,66817009322,668709322,66870922*,80922**,022**
Set1,Draw3,R8,N/A,N/A,70019836622,709836622,70986622*,09822**,022**
Set1,Draw4,draw_data,N/A,N/A,N/A,041,354,667,398
Set1,Draw4,R2,N/A,N/A,N/A,92201338667,9220138667,9220138**,2201**
Set1,Draw4,R4,N/A,N/A,N/A,22906683371,2290668371,2290831**,2201**
Set1,Draw4,R6,N/A,N/A,N/A,66817093322,6681709322,8109322**,1022**
Set1,Draw4,R8,N/A,N/A,N/A,70198336622,7019836622,0198322**,0122**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,354,667,398
Set1,Draw5,R2,N/A,N/A,N/A,N/A,922013886677,922013887**,220187**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,229066883771,229088371**,220871**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,668817709322,881709322**,817022**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,770198836622,701988322**,701822**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,667,398
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,59922013887,59220187*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,22599088371,22590871*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,88170599322,81705922*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,70199883225,70198225*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,398
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,59224001187
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,22590084711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,81170059224
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,70011982245
