area,area_rank,box_family_density,box_id,box_pair_agree,cluster_echo_count,col,col_path_min,col_path_span,col_proximity_score,col_rank,cols_hit,dr.win_drop_digit,dr.win_drop_exact,dr.win_drop_vtrac,dr.win_exact,dr.win_family_exact,dr.win_family_vtrac,dr.win_final_value,dr.win_step_drop_exact,dr.win_step_drop_vtrac,dr.win_step_exact,dr.win_step_family_exact,dr.win_step_family_vtrac,dr.win_step_vtrac,dr.win_variant,dr.win_vt_boxed,dr.win_vt_straight,dr.win_vtrac,dr.win_vtrac_local_index,draw,draw_rank,drop_digit,drop_digit_mode,drop_digit_mode_stability,drop_run_len,dup_bonus,dup_bonus_raw,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_exact_step,earliest_family_exact_step,earliest_family_vtrac_step,earliest_vtrac_step,family_id,family_unique,features_json,final_drop_exact_match,final_drop_vtrac_match,final_exact_match,final_family_exact_match,final_family_vtrac_match,final_linear,final_prob,final_value,final_vtrac_match,funnel_precol1,is_extended_cluster,lock_decision,lock_reason,lockscore_decision,lockscore_prob,lockscore_v2,ls2_lane,ls2_progress,ls_col_42,method,method_consensus,mode,pattern,persistence_drop_exact,persistence_drop_vtrac,persistence_exact,persistence_exact_score,persistence_family_exact,persistence_family_vtrac,persistence_vtrac,persistence_vtrac_score,recency_carryover,residual_purity,score,score_raw,score_v2,section,section_rank,set,set1_terminal,set_echo_count,set_min_rank,set_progress,set_proximity_score,set_rank,state,variant,variant_echo_count,variants_hit,vt_only_lane,vtrac.hot_source,vtrac.set,vtrac.v_hot,vtrac_key
LS1,1,0.75,92440113886,1,3,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,1,1,2,2,1.0,2,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3, 4]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": true, ""steps"": [1, 2, 3, 4]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 2, 1], [""0"", 1, 1], [""1"", 2, 1], [""3"", 1, 1], [""8"", 2, 1], [""6"", 1, 1], [""2"", 1, 2], [""4"", 2, 2], [""3"", 1, 2], [""8"", 2, 2], [""6"", 1, 2], [""2"", 1, 3], [""4"", 2, 3], [""3"", 1, 3], [""8"", 2, 3], [""6"", 1, 3], [""2"", 1, 4], [""4"", 2, 4], [""3"", 1, 4], [""2"", 1, 5], [""3"", 1, 5]], ""family_mass"": [0.36363636363636365, 0.42857142857142855, 0.42857142857142855, 0.75, 0.5], ""family_runs"": [2, 2, 2, 2, 1]}",0,0,0,1,1,0.634167,0.5948776578968527,23,0,0,False,,score>=lock,lock,1.0,3.845761,0,0.0,0,A,6,own,924,1,1,1,1.0,4,4,1,1.0,0,1,0.9082609959414665,6.069999999999999,8.277143,Midday,1,Set3,0,1,1,2,1.0,3,PuertoRico4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,92440113886,1,3,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,1,1,2,2,1.0,2,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 4, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4, 5, 6, 7]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3, 4, 5, 6, 7]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 2, 1], [""0"", 1, 1], [""1"", 2, 1], [""3"", 1, 1], [""8"", 2, 1], [""6"", 1, 1], [""2"", 1, 2], [""4"", 2, 2], [""3"", 1, 2], [""8"", 2, 2], [""6"", 1, 2], [""2"", 1, 3], [""4"", 2, 3], [""3"", 1, 3], [""8"", 2, 3], [""6"", 1, 3], [""2"", 1, 4], [""4"", 2, 4], [""3"", 1, 4], [""8"", 2, 4], [""6"", 1, 4], [""2"", 1, 5], [""4"", 2, 5], [""6"", 1, 5], [""2"", 1, 6], [""4"", 2, 6], [""2"", 1, 7], [""4"", 2, 7]], ""family_mass"": [0.36363636363636365, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.75, 1.0, 1.0, 1.0], ""family_runs"": [2, 2, 2, 2, 2, 2, 2, 1]}",0,0,0,0,0,0.546667,0.5736274542763555,,0,0,False,,score>=lock,lock,1.0,4.870532,0,0.0,0,A,6,combined,924,1,1,1,1.0,7,7,1,1.0,0,0,0.920531764576771,6.369999999999999,9.477143,Midday,1,Set3,0,1,1,2,1.0,3,PuertoRico4,Midday,1,1,0,none,35,0.0,35
LS1,1,0.42857142857142855,92440113886,1,3,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,1,1,2,2,1.0,2,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 2, 1], [""0"", 1, 1], [""1"", 2, 1], [""3"", 1, 1], [""8"", 2, 1], [""6"", 1, 1], [""2"", 1, 2], [""4"", 2, 2], [""3"", 1, 2], [""8"", 2, 2], [""6"", 1, 2], [""3"", 1, 3], [""8"", 2, 3], [""6"", 1, 3]], ""family_mass"": [0.36363636363636365, 0.42857142857142855, 0.0, 0.0, 0.0], ""family_runs"": [2, 2]}",0,0,0,0,0,0.618095,0.5909986407485727,,0,0,False,,score>=lock,lock,1.0,2.975017,0,0.0,0,B,6,own,924,1,1,1,1.0,2,2,1,1.0,0,0,0.9178737148443542,6.301428571428571,7.408571,Midday,1,Set3,0,1,1,2,1.0,3,PuertoRico4,Midday,1,1,0,none,35,0.0,35
LS1,1,0.5,92440113886,1,3,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,1,1,2,2,1.0,2,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 3, 4, 4, 4, 5, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 2, 1], [""0"", 1, 1], [""1"", 2, 1], [""3"", 1, 1], [""8"", 2, 1], [""6"", 1, 1], [""2"", 1, 2], [""4"", 2, 2], [""3"", 1, 2], [""8"", 2, 2], [""6"", 1, 2], [""2"", 1, 3], [""4"", 2, 3], [""3"", 1, 3], [""8"", 2, 3], [""3"", 1, 4], [""8"", 2, 4]], ""family_mass"": [0.36363636363636365, 0.42857142857142855, 0.5, 0.0], ""family_runs"": [2, 2, 2]}",0,0,0,0,0,0.521667,0.5675020233593541,,0,0,False,,score>=lock,lock,1.0,3.343991,0,0.0,0,B,6,combined,924,1,1,1,1.0,3,3,1,1.0,0,0,0.9189914238917783,6.329999999999999,7.837143,Midday,1,Set3,0,1,1,2,1.0,3,PuertoRico4,Midday,1,1,0,none,35,0.0,35
LS1,1,0.36363636363636365,92440113886,1,3,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,1,1,2,2,1.0,2,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 4, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 2, 1], [""0"", 1, 1], [""1"", 2, 1], [""3"", 1, 1], [""8"", 2, 1], [""6"", 1, 1], [""2"", 1, 2], [""3"", 1, 2], [""8"", 2, 2], [""3"", 1, 3], [""8"", 2, 3]], ""family_mass"": [0.36363636363636365, 0.25, 0.0], ""family_runs"": [2, 1]}",0,0,0,0,0,0.614848,0.590213606748547,,0,0,False,,score>=lock,lock,1.0,2.607754,0,0.0,0,C,6,own,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9168448186539351,6.2754545454545445,6.632597,Midday,1,Set3,0,1,1,2,1.0,3,PuertoRico4,Midday,1,1,0,none,35,0.0,35
LS1,1,0.36363636363636365,92440113886,1,3,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,1,1,2,2,1.0,2,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 4, 3, 3, 4, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 2, 1], [""0"", 1, 1], [""1"", 2, 1], [""3"", 1, 1], [""8"", 2, 1], [""6"", 1, 1], [""2"", 1, 2], [""3"", 1, 2], [""8"", 2, 2], [""2"", 1, 3], [""3"", 1, 3], [""8"", 2, 3], [""3"", 1, 4], [""8"", 2, 4]], ""family_mass"": [0.36363636363636365, 0.25, 0.25, 0.0], ""family_runs"": [2, 1, 1]}",0,0,0,0,0,0.514848,0.565827781039036,,0,0,False,,score>=lock,lock,1.0,2.607754,0,0.0,0,C,6,combined,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9168448186539351,6.2754545454545445,6.632597,Midday,1,Set3,0,1,1,2,1.0,3,PuertoRico4,Midday,1,1,0,none,35,0.0,35
LS1,1,0.4,92440113886,1,3,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,1,1,2,2,1.0,2,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 4, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 2, 1], [""0"", 1, 1], [""1"", 2, 1], [""3"", 1, 1], [""8"", 2, 1], [""6"", 1, 1], [""2"", 1, 2], [""4"", 1, 2], [""3"", 1, 2], [""8"", 2, 2], [""3"", 1, 3], [""8"", 2, 3]], ""family_mass"": [0.36363636363636365, 0.4, 0.0], ""family_runs"": [2, 1]}",0,0,0,0,0,0.616667,0.5906532827008858,,0,0,False,,score>=lock,lock,1.0,2.617423,0,0.0,0,D,6,own,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9174225103797897,6.29,6.997143,Midday,1,Set3,0,1,1,2,1.0,3,PuertoRico4,Midday,1,1,0,none,35,0.0,35
LS1,1,0.4,92440113886,1,3,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,1,1,2,2,1.0,2,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 4, 3, 3, 3, 4, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 2, 1], [""0"", 1, 1], [""1"", 2, 1], [""3"", 1, 1], [""8"", 2, 1], [""6"", 1, 1], [""2"", 1, 2], [""4"", 1, 2], [""3"", 1, 2], [""8"", 2, 2], [""2"", 1, 3], [""4"", 1, 3], [""3"", 1, 3], [""8"", 2, 3], [""3"", 1, 4], [""8"", 2, 4]], ""family_mass"": [0.36363636363636365, 0.4, 0.4, 0.0], ""family_runs"": [2, 1, 1]}",0,0,0,0,0,0.516667,0.5662743941954392,,0,0,False,,score>=lock,lock,1.0,2.617423,0,0.0,0,D,6,combined,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9174225103797897,6.29,6.997143,Midday,1,Set3,0,1,1,2,1.0,3,PuertoRico4,Midday,1,1,0,none,35,0.0,35
LS1,1,0.375,92440113886,1,3,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,0,1,2,1,1.0,2,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 2, 1], [""0"", 1, 1], [""1"", 2, 1], [""3"", 1, 1], [""8"", 2, 1], [""6"", 1, 1], [""2"", 1, 2], [""4"", 2, 2], [""1"", 1, 2], [""3"", 1, 2], [""8"", 2, 2], [""6"", 1, 2], [""4"", 1, 3], [""1"", 1, 3], [""3"", 1, 3], [""8"", 2, 3], [""6"", 1, 3], [""4"", 1, 4], [""3"", 1, 4], [""8"", 1, 4], [""3"", 1, 5], [""8"", 1, 5]], ""family_mass"": [0.36363636363636365, 0.375, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0], ""family_runs"": [2, 2, 1, 1]}",0,0,0,0,0,0.615417,0.5903510210110553,,0,0,False,,score>=lock,lock,1.0,2.950244,0,0.0,0,E,6,own,924,1,1,1,1.0,2,2,1,1.0,0,0,0.9064943898009045,6.029999999999999,6.787143,Midday,1,Set3,0,1,1,2,1.0,3,PuertoRico4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,92440113886,1,3,7,5,2,0.42857142857142855,7,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,0,1,2,1,1.0,2,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 4, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""0"", 1], [""1"", 2], [""3"", 1], [""8"", 2], [""6"", 1]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1, 2, 3]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 2, 1], [""0"", 1, 1], [""1"", 2, 1], [""3"", 1, 1], [""8"", 2, 1], [""6"", 1, 1], [""2"", 1, 2], [""4"", 2, 2], [""1"", 1, 2], [""3"", 1, 2], [""8"", 2, 2], [""6"", 1, 2], [""2"", 1, 3], [""4"", 2, 3], [""3"", 1, 3], [""8"", 2, 3], [""6"", 1, 3], [""4"", 1, 4], [""3"", 1, 4], [""8"", 2, 4], [""6"", 1, 4], [""4"", 1, 5], [""6"", 1, 5]], ""family_mass"": [0.36363636363636365, 0.375, 0.42857142857142855, 0.2, 0.5, 1.0, 1.0], ""family_runs"": [2, 2, 2, 1, 1, 1, 1]}",0,0,0,0,0,0.546667,0.5736274542763555,,0,0,False,,score>=lock,lock,1.0,3.460425,0,0.0,0,E,6,combined,924,1,1,1,1.0,3,3,1,1.0,0,0,0.9104245939004265,6.119999999999999,7.627143,Midday,1,Set3,0,1,1,2,1.0,3,PuertoRico4,Midday,1,1,0,none,35,0.0,35
