best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
224,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.4991666674382707,1,1.0,combined,1,19.077143,0.9961848001913324,19.077143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
244,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",244,0.5613558846263439,0,1.0,combined,2,18.177143,0.9928840542789424,18.177143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
224,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.5241478655622194,1,1.0,own,3,14.277143,0.9873889054253283,14.277143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
924,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.5116645498437119,0,1.0,combined,4,13.677143,0.9677141892505896,13.677143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
244,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",244,0.5858090215649849,0,1.0,own,5,13.377143,0.9765676601183906,13.377143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
924,60,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.5490088057588589,1,1.0,own,6,13.277143,0.9860718216444758,13.277143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
224,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.5116645498437119,0,1.0,combined,7,12.827143,0.9870717177321973,12.827143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
224,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.5241478655622194,0,1.0,combined,8,12.377143,0.9838359827493492,12.377143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
992,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5918616423862878,0,1.0,own,9,12.087143,0.9599285819327407,12.087143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
244,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",244,0.5116645498437119,0,1.0,combined,10,12.077143,0.9812446222746463,12.077143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
922,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.6030273673488417,0,1.0,own,11,11.958571,0.964924777942195,11.958571,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
924,60,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.5241478655622194,1,1.0,combined,12,11.877143,0.9792925249378165,11.877143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
224,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.5465316309986,0,1.0,own,13,11.577143,0.9707416436590314,11.577143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
224,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.5316243949817686,0,1.0,own,14,11.527143,0.9728270272003616,11.527143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
244,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",244,0.5366010793535907,0,1.0,own,15,11.077143,0.9660869289795984,11.077143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
924,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.5366010793535907,0,1.0,own,16,10.877143,0.9607064601046226,10.877143,PuertoRico4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
