area,section,set,draw,col,method,mode,dr_win_exact,dr_win_vtrac,dr_win_drop_exact,dr_win_drop_vtrac,dr_win_family_exact,dr_win_family_vtrac,dr_win_step_exact,dr_win_step_vtrac,dr_win_step_drop_exact,dr_win_step_drop_vtrac,dr_win_step_family_exact,dr_win_step_family_vtrac,dr_win_final_value,dr_win_drop_digit,dr_win_vtrac_local_index,dr_win_vt_boxed,dr_win_vt_straight
LS1,Midday,Set2,Draw1,6,E,own,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,,,-1,1,0
LS1,Midday,Set2,Draw1,6,E,combined,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,,,-1,1,0
LS1,Midday,Set2,Draw1,5,E,own,0,1,0,1,0,1,-1,1,-1,1,-1,1,,,-1,1,0
LS1,Midday,Set2,Draw1,5,E,combined,0,1,0,1,0,1,-1,1,-1,1,-1,1,,,-1,1,0
LS1,Midday,Set1,Draw1,6,E,own,0,1,0,1,0,0,-1,1,-1,1,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw1,6,E,combined,0,1,0,1,0,0,-1,1,-1,1,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw2,6,E,own,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw2,6,E,combined,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw3,3,A,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,2233*,,63,0,0
LS1,Midday,Set1,Draw3,3,A,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw3,3,B,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw3,3,B,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw3,3,C,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw3,3,C,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw3,3,D,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw3,3,D,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw3,3,E,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw3,3,E,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw3,3,T,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,33*,,-1,0,0
LS1,Midday,Set1,Draw3,3,T,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,*,,-1,0,0
LS1,Midday,Set1,Draw3,2,A,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,2233**,,63,0,0
LS1,Midday,Set1,Draw3,2,A,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw3,2,B,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw3,2,B,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw3,2,C,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw3,2,C,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw3,2,D,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw3,2,D,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw3,2,E,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw3,2,E,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw3,2,T,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw3,2,T,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,A,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,2233**,,63,0,0
LS1,Midday,Set1,Draw4,2,A,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,B,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,B,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,C,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,C,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,D,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,D,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,E,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,E,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,T,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw4,2,T,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,**,,-1,0,0
LS1,Midday,Set1,Draw6,2,E,own,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw6,2,E,combined,0,1,0,0,0,0,-1,1,-1,-1,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw7,1,A,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,2233,,63,0,0
LS1,Midday,Set1,Draw7,1,A,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw7,1,B,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw7,1,B,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw7,1,C,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw7,1,C,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw7,1,D,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw7,1,D,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw7,1,E,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw7,1,E,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,,,-1,0,0
LS1,Midday,Set1,Draw7,1,T,own,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,33,,-1,0,0
LS1,Midday,Set1,Draw7,1,T,combined,0,1,0,0,0,0,-1,0,-1,-1,-1,-1,,,-1,0,0
