best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
551,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",155,0.5793242521487495,1,1.0,own,1,12.027143,0.9692645888694489,12.027143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
511,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",115,0.5793242521487495,0,1.0,own,2,11.577143,0.9616580221163843,11.577143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
991,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",199,0.5898470998958403,0,1.0,own,3,10.577143,0.9485885670976117,10.577143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
541,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",145,0.7204443239304577,0,1.0,own,4,10.027143,0.9607064601046226,10.027143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
541,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",145,0.6998674325879449,0,1.0,combined,5,9.627143,0.9607064601046226,9.627143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
592,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.6748052725823135,0,1.0,own,6,9.577143,0.956663467366079,9.577143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
924,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.5066662716330296,0,1.0,combined,7,9.277143,0.9607064601046226,9.277143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5572478545985555,0,1.0,own,8,9.127143,0.9684987733220671,9.127143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5324543063873187,0,1.0,combined,9,9.127143,0.9684987733220671,9.127143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
599,66,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5324543063873187,1,1.0,own,10,8.927143,0.9728270272003616,8.927143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
