state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
SouthCarolina4,2025-06-23,478,345,45,45,14,3,33,3,14,19,5,1,14,3,3,7,18.511,35.65,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
SouthCarolina4,2025-06-23,567,123,18,18,15,4,18,12,1,13,1,1,12,2,1,4,22.622,34.95,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
SouthCarolina4,2025-06-23,069,125,49,49,9,3,34,8,10,29,9,0,18,3,3,7,20.349,34.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
SouthCarolina4,2025-06-23,244,35,39,39,9,4,27,1,7,15,0,0,12,3,3,7,20.612,33.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_straight"
SouthCarolina4,2025-06-23,089,145,43,43,5,4,26,3,5,17,14,0,0,3,3,7,18.24,32.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
SouthCarolina4,2025-06-23,024,135,48,48,7,5,31,1,9,17,4,0,13,2,3,7,18.249,32.0,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical5,vt_only_lane,vt_straight"
SouthCarolina4,2025-06-23,689,245,64,64,10,3,44,3,19,24,13,0,10,3,3,7,18.772,31.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
SouthCarolina4,2025-06-23,015,112,12,12,5,4,9,1,4,5,2,0,0,3,3,6,16.929,31.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
SouthCarolina4,2025-06-23,239,345,34,34,5,2,24,1,2,7,3,1,0,3,3,7,15.529,30.75,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
SouthCarolina4,2025-06-23,001,12,15,15,5,4,10,1,2,3,1,0,0,3,3,7,16.26,30.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
