section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Combined,Set1,Draw1,7,24,3,2,0.0,4,0.0,False,False,False,False,False,False,True,3,7,3,7,26,0,0,0,689:1;34468:1;189:1,968:1;68344:1;198:1,6,4,1,0.0,0,0,0,0,0,0,0.5,0,10,4,1,0.0,26.5,51.0,3,True,False,958,314,True,True,True
Combined,Set1,Draw5,3,24,3,2,0.0,3,0.0,False,False,False,False,False,True,True,3,7,3,7,17,0,0,0,113389:1;36889:1;189:1,911338:1;96883:1;198:1,6,3,1,0.0,0,0,0,0,0,1,0.5,0,10,4,0,0.0,25.5,51.0,3,False,False,958,314,True,True,True
Combined,Set1,Draw4,3,24,3,2,0.0,3,0.0,False,False,False,False,False,True,True,3,7,3,7,9,0,0,0,1389:1;36889:1;189:1,9138:1;96883:1;198:1,6,3,1,0.0,0,0,0,0,0,1,0.5,0,10,4,0,0.0,25.5,51.0,3,False,False,958,314,True,True,True
Combined,Set1,Draw1,4,24,3,2,0.0,4,1.0,False,False,False,False,False,False,True,3,7,3,7,3,3,0,0,189:1;689:1;1689:1,918:1;968:1;9186:1,6,4,1,0.0,0,1,0,0,0,0,0.5,0,10,1,0,0.0,23.5,51.0,2,False,False,958,314,True,True,True
Combined,Set1,Draw1,5,24,3,2,0.0,4,1.0,False,False,False,False,False,False,True,3,7,3,7,3,3,0,0,189:1;689:1;1689:1,918:1;968:1;9186:1,6,4,1,0.0,0,1,0,0,0,0,0.5,0,10,1,0,0.0,23.5,51.0,2,False,False,958,314,True,True,True
Combined,Set1,Draw4,2,24,3,2,0.0,3,1.0,False,False,False,False,False,True,True,3,7,3,7,6,0,6,0,1389:1;189:1;689:1,9138:1;198:1;968:1,6,3,1,0.0,0,1,0,0,0,1,0.5,0,10,1,0,0.0,23.5,51.0,2,False,False,958,314,True,True,True
Combined,Set1,Draw5,2,24,3,2,0.0,3,1.0,False,False,False,False,False,True,True,3,7,3,7,13,0,13,0,1389:1;189:1;113389:1,1983:1;198:1;911338:1,6,3,1,0.0,0,1,0,0,0,1,0.5,0,10,1,0,0.0,23.5,51.0,2,False,False,958,314,True,True,True
Combined,Set2,Draw1,6,14,4,3,0.0,4,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,3445589:1;344589:1;344559:1,5594438:1;594438:1;559443:1,8,4,2,0.0,0,0,0,0,0,0,0.0,0,4,4,1,0.0,23.0,46.5,3,True,False,958,314,True,True,True
Midday,Set1,Draw1,4,24,3,3,0.0,5,1.0,False,False,False,False,False,False,False,3,4,3,4,0,6,0,0,113488:1;1134:1;11348:1,411388:1;4113:1;41138:1,6,5,2,0.0,0,1,0,0,0,0,0.0,0,7,1,1,0.0,23.0,51.0,2,True,False,958,314,True,True,True
Midday,Set1,Draw1,3,24,3,3,0.0,5,1.0,False,False,False,False,False,True,False,3,4,3,4,0,0,4,0,11348:1;1134:1;1348:1,41138:1;4113:1;8341:1,6,5,2,0.0,0,1,0,0,0,1,0.0,0,7,0,1,0.0,23.0,51.0,1,True,False,958,314,True,True,True
