section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,455,5.0,101.5,34.5,3,7,0,False,14,11,9,0,0,13,42,42,boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain3;boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain3,set_chain3|draw_chain7|col1x9|hot1x14|hot2x11|vstrx13|dblmirrorx42
Combined,255,3.0,85.5,32.0,3,7,0,False,6,11,7,0,0,6,31,31,boxed|cov3|hp_repeat7|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7;boxed|cov3|hp_repeat6|vstr2|hot2|perm2|double_mirror|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x7|hot1x6|hot2x11|vstrx6|dblmirrorx31
Combined,2455,12.0,76.5,34.5,2,6,0,False,6,11,6,0,0,10,0,25,boxed|cov4|hp_repeat6|vstr2|hot2|dom_last|perm3|hidden3v|set_chain2|draw_chain6;boxed|cov4|hp_repeat4|vstr2|hot2|dom_last|perm3|hidden3v|set_chain2|draw_chain6,set_chain2|draw_chain6|col1x6|hot1x6|hot2x11|vstrx10
Combined,245,12.0,69.5,27.5,2,6,0,False,6,11,6,0,0,10,0,25,boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|set_chain2|draw_chain6;boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|set_chain2|draw_chain6,set_chain2|draw_chain6|col1x6|hot1x6|hot2x11|vstrx10
Combined,224,28.0,54.0,29.5,1,4,0,False,1,4,4,0,0,9,10,10,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4;straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx9|dblmirrorx10
Combined,055,1.0,52.0,23.0,2,6,0,False,2,4,4,0,0,4,16,16,boxed|cov2|hp_repeat4|mirror|hot2|perm2|double_mirror|set_chain2|draw_chain6;boxed|cov2|hp_repeat3|mirror|hot2|perm2|double_mirror|set_chain2|draw_chain6,set_chain2|draw_chain6|col1x4|hot1x2|hot2x4|vstrx4|dblmirrorx16
Combined,559,5.0,51.0,30.5,2,6,0,False,3,1,0,0,0,6,15,15,straight|cov3|hp_repeat4|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain6;straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain6,set_chain2|draw_chain6|hot1x3|hot2x1|vstrx6|dblmirrorx15
Combined,344,34.0,44.0,27.0,3,3,0,False,4,0,0,0,0,0,15,15,boxed|cov4|hp_repeat5|vstr2|vstr3|hot1|perm2|double_mirror|set_chain3;straight|cov3|hp_repeat5|vstr2|vstr3|hot1|double_mirror|set_chain3,set_chain3|draw_chain3|hot1x4|dblmirrorx15
Combined,22455,12.0,44.0,26.5,1,4,0,False,1,4,4,0,0,5,0,10,boxed|cov3|hp_repeat4|vstr2|hot2|dom_last|perm2|hidden3v|draw_chain4;boxed|cov3|hp_repeat3|vstr2|hot2|dom_last|perm2|hidden3v|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx5
Combined,225,10.0,44.0,22.0,1,4,0,False,1,4,4,0,0,4,10,10,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|double_mirror|draw_chain4;boxed|cov3|hp_repeat3|vstr2|hot2|perm2|double_mirror|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx4|dblmirrorx10
Combined,226,20.0,44.0,19.5,1,4,0,False,1,4,4,0,0,9,10,10,straight|cov1|hp_repeat4|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx9|dblmirrorx10
Combined,244,31.0,43.0,29.5,3,4,0,False,1,0,1,0,0,1,10,10,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3;straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|set_chain3|draw_chain3,set_chain3|draw_chain4|col1x1|hot1x1|vstrx1|dblmirrorx10
Combined,2245,12.0,40.0,22.5,1,4,0,False,1,4,4,0,0,5,0,10,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|draw_chain4;boxed|cov3|hp_repeat3|vstr2|hot2|perm2|hidden3v|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx5
Combined,2255,10.0,39.0,22.0,1,4,0,False,1,4,4,0,0,4,0,10,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|draw_chain4;boxed|cov3|hp_repeat3|vstr2|hot2|perm2|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx4
Combined,024,12.0,39.0,19.5,1,5,0,False,2,4,3,0,0,8,0,11,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|draw_chain5;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain5,draw_chain5|col1x3|hot1x2|hot2x4|vstrx8
Combined,2246,22.0,39.0,19.5,1,4,0,False,1,4,4,0,0,9,0,10,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx9
Combined,068,8.0,38.0,23.5,1,4,0,False,1,3,3,0,0,5,0,8,boxed|cov4|hp_repeat3|vstr2|hot2|perm3|hidden3v|draw_chain4;boxed|cov4|hp_repeat2|vstr2|hot2|perm3|hidden3v|draw_chain4,draw_chain4|col1x3|hot1x1|hot2x3|vstrx5
Combined,445,15.0,37.0,17.5,3,4,0,False,4,0,1,0,0,1,16,16,boxed|cov2|hp_repeat5|hot1|perm2|hidden3v|double_mirror|set_chain3;boxed|cov2|hp_repeat5|hot1|perm2|hidden3v|double_mirror|set_chain3,set_chain3|draw_chain4|col1x1|hot1x4|vstrx1|dblmirrorx16
Combined,249,31.0,36.0,27.5,2,3,0,True,3,0,0,0,0,2,0,9,straight|cov3|hp_repeat4|vstr2|vstr3|mirror|hot1|hidden3v|vtrac_straight|set_chain2|draw_chain3;straight|cov2|hp_repeat3|vstr2|mirror|hot1|hidden3v|vtrac_straight|set_chain2|draw_chain3,set_chain2|draw_chain3|hot1x3|vstrx2
Combined,259,12.0,36.0,23.5,2,6,0,False,3,1,0,0,0,5,0,13,straight|cov2|hp_repeat4|vstr2|hot1|hidden3v|vtrac_straight|set_chain2|draw_chain6;straight|cov2|hp_repeat3|vstr2|hot1|hidden3v|vtrac_straight|set_chain2|draw_chain6,set_chain2|draw_chain6|hot1x3|hot2x1|vstrx5
Combined,0224,12.0,36.0,18.5,1,3,0,False,1,4,3,0,0,8,0,9,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x4|vstrx8
Combined,355,4.0,35.5,22.0,3,1,0,False,4,0,0,0,0,1,9,9,straight|cov2|hp_repeat5|vstr2|hot1|double_mirror|vtrac_straight|set_chain3;straight|cov2|hp_repeat5|vstr2|hot1|double_mirror|set_chain3,set_chain3|draw_chain1|hot1x4|vstrx1|dblmirrorx9
Combined,2559,12.0,34.0,23.5,2,6,0,False,3,1,0,0,0,1,0,14,boxed|cov3|hp_repeat4|vstr2|hot1|perm2|hidden3v|set_chain2|draw_chain6;boxed|cov3|hp_repeat4|vstr2|hot1|perm2|hidden3v|set_chain2|draw_chain6,set_chain2|draw_chain6|hot1x3|hot2x1|vstrx1
Combined,022556,7.0,34.0,19.0,1,4,0,False,1,3,4,0,0,4,0,5,boxed|cov2|hp_repeat2|mirror|hot2|perm2|draw_chain4;straight|cov1|mirror|hot2|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x3|vstrx4
