section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Combined,Set1,Draw1,1,2455,boxed,34.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,6,5524,2,12,True,8,6,2,0.0,3,0,0,4,0,3.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat6|vstr2|hot2|dom_last|perm3|hidden3v|set_chain2|draw_chain6,2455,579,579,385,False,False,True
Combined,Set1,Draw2,1,2455,boxed,32.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,4,5524,2,12,True,8,4,2,0.0,3,0,0,4,0,3.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat4|vstr2|hot2|dom_last|perm3|hidden3v|set_chain2|draw_chain6,2455,579,579,385,False,False,True
Evening,Set1,Draw3,1,24455,boxed,31.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3,0,5,55244,2,12,True,8,5,2,0.0,3,0,0,4,0,3.0,2,0.5,0,0,4,1,5,0,False,boxed|cov4|hp_repeat5|vstr2|hot2|dom_last|perm3|hidden3v|draw_chain5,24455,579,579,385,False,False,True
Midday,Set3,Draw1,1,045577,boxed,30.5,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,1,4,0,5,554077,1,12,True,8,5,3,0.0,1,0,0,2,1,3.0,3,0.5,0,4,0,3,1,0,False,boxed|cov4|hp_repeat5|mirror|hot1|dom_last|perm4|hidden3v|set_chain3,045577,579,579,385,False,False,True
Combined,Set1,Draw1,3,2455,boxed,29.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,6,5524,2,12,True,8,6,2,0.0,3,0,0,2,0,0.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat6|vstr2|hot2|perm3|hidden3v|set_chain2|draw_chain6,2455,579,579,385,False,False,True
Combined,Set1,Draw1,2,2455,boxed,29.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,6,5524,2,12,True,8,6,2,0.0,3,0,0,2,0,0.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat6|vstr2|hot2|perm3|hidden3v|set_chain2|draw_chain6,2455,579,579,385,False,False,True
Combined,Set1,Draw3,1,2455,boxed,29.5,"R2,R6,R8",False,True,False,False,False,False,False,True,False,2,2,0,4,5524,2,12,True,6,4,1,0.0,3,0,0,4,0,3.0,1,0.5,0,2,5,2,6,0,False,boxed|cov3|hp_repeat4|vstr2|hot2|dom_last|perm2|hidden3v|set_chain2|draw_chain6,2455,579,579,385,False,False,True
Combined,Set1,Draw1,4,2455,boxed,28.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3,0,6,5524,2,12,True,8,6,2,0.0,3,0,0,1,0,0.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat6|vstr2|hot1|perm3|hidden3v|set_chain2|draw_chain6,2455,579,579,385,False,False,True
Combined,Set1,Draw1,1,245,boxed,27.5,"R2,R6,R8",False,True,False,False,False,False,False,False,False,2,2,0,6,524,2,12,True,6,6,1,0.0,3,0,0,4,0,0.0,0,0.5,0,2,5,2,6,0,False,boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|set_chain2|draw_chain6,245,579,579,385,False,False,True
Combined,Set1,Draw2,2,2455,boxed,27.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,4,5524,2,12,True,8,4,2,0.0,3,0,0,2,0,0.0,1,0.5,0,2,5,2,6,0,False,boxed|cov4|hp_repeat4|vstr2|hot2|perm3|hidden3v|set_chain2|draw_chain6,2455,579,579,385,False,False,True
