Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,906,681,208,398,771,473,016
Set3,Draw1,R2,5524411338877,55244133877,554413377,55441377*,55443*,554*,554*
Set3,Draw1,R4,2558833447711,25583344771,553344771,55344771*,55344*,554*,554*
Set3,Draw1,R6,8811775533244,81775533244,177553344,17755344*,55344*,554*,554*
Set3,Draw1,R8,7711883324455,77183324455,771334455,77134455*,34455*,455*,455*
Set2,Draw1,draw_data,681,208,398,771,473,016,793
Set2,Draw1,R2,5592440133877,5594413377,55441377,55443*,554*,554*,554*
Set2,Draw1,R4,2559083344771,5593344771,55344771,55344*,554*,554*,554*
Set2,Draw1,R6,8177055933244,1775593344,17755344,55344*,554*,554*,554*
Set2,Draw1,R8,7701983324455,7719334455,77134455,34455*,455*,455*,455*
Set1,Draw1,draw_data,208,398,771,473,016,793,938
Set1,Draw1,R2,55924413377,552441377,552443*,5524*,5524**,5524**,5524**
Set1,Draw1,R4,25593344771,255344771,255344*,2554*,2554**,2554**,2554**
Set1,Draw1,R6,17755933244,177553244,553244*,5524*,5524**,5524**,5524**
Set1,Draw1,R8,77193324455,771324455,324455*,2455*,2455**,2455**,2455**
Set1,Draw2,draw_data,N/A,398,771,473,016,793,938
Set1,Draw2,R2,N/A,559244013677,559244036,5592406*,55924*,5524**,5524**
Set1,Draw2,R4,N/A,255906344771,255906344,2559064*,25594*,2554**,2554**
Set1,Draw2,R6,N/A,617705593244,605593244,6055924*,55924*,5524**,5524**
Set1,Draw2,R8,N/A,770193624455,093624455,0962455*,92455*,2455**,2455**
Set1,Draw3,draw_data,N/A,N/A,771,473,016,793,938
Set1,Draw3,R2,N/A,N/A,55924401366,559240166,559246*,55246**,55246**
Set1,Draw3,R4,N/A,N/A,25590663441,255906641,255964*,25564**,25564**
Set1,Draw3,R6,N/A,N/A,66105593244,661055924,655924*,65524**,65524**
Set1,Draw3,R8,N/A,N/A,01936624455,019662455,962455*,62455**,62455**
Set1,Draw4,draw_data,N/A,N/A,N/A,473,016,793,938
Set1,Draw4,R2,N/A,N/A,N/A,559224001866,559224086,55224086**,5522406**
Set1,Draw4,R4,N/A,N/A,N/A,225590066841,225590684,22550684**,2255064**
Set1,Draw4,R6,N/A,N/A,N/A,668100559224,680559224,68055224**,6055224**
Set1,Draw4,R8,N/A,N/A,N/A,001986622455,098622455,08622455**,0622455**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,016,793,938
Set1,Draw5,R2,N/A,N/A,N/A,N/A,559922403886,5592240886**,55224086**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,225599068834,2255906884**,22550684**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,688055993224,6880559224**,68055224**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,099883622455,0988622455**,08622455**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,793,938
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,55922401886,552240186*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,22559068841,225506841*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,68810559224,681055224*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,01988622455,018622455*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,938
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,55224401867
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,22550684471
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,68170552244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,70186224455
