Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,931,466,130,281,266,681,398
Set3,Draw1,R2,55440038677,554003877,5540877,554077*,554077*,554077*,554077*
Set3,Draw1,R4,55006834477,550083477,5508477,550477*,550477*,550477*,550477*
Set3,Draw1,R6,68770055344,877005534,8770554,770554*,770554*,770554*,770554*
Set3,Draw1,R8,77008364455,770083455,7708455,770455*,770455*,770455*,770455*
Set2,Draw1,draw_data,466,130,281,266,681,398,473
Set2,Draw1,R2,55940038877,559408877,55940877,55940877*,5594077*,554077*,5507*
Set2,Draw1,R4,55900883477,559088477,55908477,55908477*,5590477*,550477*,5507*
Set2,Draw1,R6,88770055934,887705594,87705594,87705594*,7705594*,770554*,7055*
Set2,Draw1,R8,77009883455,770988455,77098455,77098455*,7709455*,770455*,7055*
Set1,Draw1,draw_data,130,281,266,681,398,473,793
Set1,Draw1,R2,55922408877,559240877,55940877*,5594077*,554077**,5507**,550**
Set1,Draw1,R4,22559088477,255908477,55908477*,5590477*,550477**,5507**,550**
Set1,Draw1,R6,88770559224,877055924,87705594*,7705594*,770554**,7055**,055**
Set1,Draw1,R8,77098822455,770982455,77098455*,7709455*,770455**,7055**,055**
Set1,Draw2,draw_data,N/A,281,266,681,398,473,793
Set1,Draw2,R2,N/A,55992403877,5599403877,559940377*,5594077*,55907**,550**
Set1,Draw2,R4,N/A,25599083477,5599083477,559903477*,5590477*,55907**,550**
Set1,Draw2,R6,N/A,87705599324,8770559934,770559934*,7705594*,70559**,055**
Set1,Draw2,R8,N/A,77099832455,7709983455,770993455*,7709455*,70955**,055**
Set1,Draw3,draw_data,N/A,N/A,266,681,398,473,793
Set1,Draw3,R2,N/A,N/A,55994403877,5599440377,55944077*,559407**,5540**
Set1,Draw3,R4,N/A,N/A,55990834477,5599034477,55904477*,559047**,5504**
Set1,Draw3,R6,N/A,N/A,87705599344,7705599344,77055944*,705594**,0554**
Set1,Draw3,R8,N/A,N/A,77099834455,7709934455,77094455*,709455**,0455**
Set1,Draw4,draw_data,N/A,N/A,N/A,681,398,473,793
Set1,Draw4,R2,N/A,N/A,N/A,559944003377,5594400377,5594007**,55400**
Set1,Draw4,R4,N/A,N/A,N/A,559900334477,5590034477,5590047**,55004**
Set1,Draw4,R6,N/A,N/A,N/A,770055993344,7700559344,7005594**,00554**
Set1,Draw4,R8,N/A,N/A,N/A,770099334455,7700934455,7009455**,00455**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,398,473,793
Set1,Draw5,R2,N/A,N/A,N/A,N/A,559244001377,559240017**,5524001**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,255900344771,255900471**,2550041**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,177005593244,170055924**,1005524**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,770019324455,700192455**,0012455**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,473,793
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,55922400167,552240016*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,22559006471,225500641*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,61700559224,610055224*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,70019622455,001622455*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,793
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,552240011866
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,225500668411
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,668110055224
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,001186622455
