State,StateKey,Variant,AlertId,Strength,Suggested,CapLines,DecayDraws,Badges,Canonical,ImpliedSet,Evidence,Winner Midday,Winner Evening,Midday Hits,Evening Hits
Indiana,Indiana4,Evening,A01,4,BOX,12,3,CONS/3V,024,"[""024"",""042"",""204"",""240"",""402"",""420""]","{""tail"":""24"",""col"":""1"",""rowcov"":4,""perm"":1,""ba_score"":1}",110,032,-,-
Indiana,Indiana4,Midday,A01,4,BOX,12,3,CONS/3V,018,"[""018"",""081"",""108"",""180"",""801"",""810""]","{""tail"":""08"",""col"":""1"",""rowcov"":4,""perm"":3,""ba_score"":0}",110,032,-,-
North Carolina,NorthCarolina4,Midday,A01,4,BOX,12,3,CONS/3V,034,"[""034"",""043"",""304"",""340"",""403"",""430""]","{""tail"":""03"",""col"":""1"",""rowcov"":4,""perm"":2,""ba_score"":1}",920,145,-,-
Ohio,Ohio4,Midday,A01,4,BOX,12,3,CONS/3V,038,"[""038"",""083"",""308"",""380"",""803"",""830""]","{""tail"":""03"",""col"":""1"",""rowcov"":4,""perm"":2,""ba_score"":1}",734,368,-,-
Ohio,Ohio4,Midday,A01,4,BOX,12,3,CONS/3V,039,"[""039"",""093"",""309"",""390"",""903"",""930""]","{""tail"":""93"",""col"":""2"",""rowcov"":4,""perm"":1,""ba_score"":1}",734,368,-,-
Ontario,OntarioCanada4,Midday,A01,4,BOX,12,3,CONS/3V/BA,049,"[""049"",""094"",""409"",""490"",""904"",""940""]","{""tail"":""94"",""col"":""1"",""rowcov"":4,""perm"":1,""ba_score"":2}",325,438,-,-
Pennsylvania,Pennsylvania4,Combined,A01,4,BOX,12,3,CONS/3V/BA,019,"[""019"",""091"",""109"",""190"",""901"",""910""]","{""tail"":""01"",""col"":""1"",""rowcov"":4,""perm"":2,""ba_score"":2}",164,040,-,-
Pennsylvania,Pennsylvania4,Evening,A01,4,BOX,12,3,CONS/3V/BA,038,"[""038"",""083"",""308"",""380"",""803"",""830""]","{""tail"":""03"",""col"":""2"",""rowcov"":4,""perm"":3,""ba_score"":2}",164,040,-,-
Puerto Rico,PuertoRico4,Combined,A01,4,BOX,12,3,CONS/3V,024,"[""024"",""042"",""204"",""240"",""402"",""420""]","{""tail"":""24"",""col"":""1"",""rowcov"":4,""perm"":1,""ba_score"":1}",858,454,-,-
Puerto Rico,PuertoRico4,Midday,A01,4,BOX,12,3,CONS/3V,023,"[""023"",""032"",""203"",""230"",""302"",""320""]","{""tail"":""03"",""col"":""1"",""rowcov"":4,""perm"":2,""ba_score"":1}",858,454,-,-
Puerto Rico,PuertoRico4,Midday,A01,4,BOX,12,3,CONS/3V,023,"[""023"",""032"",""203"",""230"",""302"",""320""]","{""tail"":""03"",""col"":""2"",""rowcov"":4,""perm"":2,""ba_score"":1}",858,454,-,-
South Carolina,SouthCarolina4,Combined,A01,4,BOX,12,3,CONS/3V/BA,013,"[""013"",""031"",""103"",""130"",""301"",""310""]","{""tail"":""01"",""col"":""1"",""rowcov"":4,""perm"":2,""ba_score"":2}",958,314,-,-
South Carolina,SouthCarolina4,Evening,A01,4,BOX,12,3,CONS/3V,049,"[""049"",""094"",""409"",""490"",""904"",""940""]","{""tail"":""94"",""col"":""1"",""rowcov"":4,""perm"":1,""ba_score"":0}",958,314,-,-
South Carolina,SouthCarolina4,Evening,A02,4,STR8_3,6,2,CONS/DBL/A10,449,"[""449"",""494"",""944""]","{""tail"":""44"",""col"":""2"",""rowcov"":4,""perm"":1,""due_doubles_rank"":2,""ba_score"":0}",958,314,-,-
Virginia,Virginia4,Evening,A02,4,STR8_3,6,2,CONS/DBL/A10/BA,455,"[""455"",""545"",""554""]","{""tail"":""55"",""col"":""1"",""rowcov"":4,""perm"":2,""due_doubles_rank"":3,""ba_score"":2}",579,385,-,-
Connecticut,Connecticut4,Combined,A02,3,STR8_3,6,2,CONS/DBL/BA,044,"[""044"",""404"",""440""]","{""tail"":""44"",""col"":""1"",""rowcov"":4,""perm"":1,""due_doubles_rank"":6,""ba_score"":2}",130,938,-,-
Delaware,Delaware4,Midday,A02,3,STR8_3,6,2,CONS/DBL,066,"[""066"",""606"",""660""]","{""tail"":""66"",""col"":""1"",""rowcov"":4,""perm"":1,""due_doubles_rank"":7,""ba_score"":1}",669,919,-,-
Michigan,Michigan4,Evening,A02,3,STR8_3,6,2,CONS/DBL,077,"[""077"",""707"",""770""]","{""tail"":""77"",""col"":""2"",""rowcov"":4,""perm"":1,""due_doubles_rank"":10,""ba_score"":1}",392,964,-,-
Michigan,Michigan4,Midday,A02,3,STR8_3,6,2,CONS/DBL,077,"[""077"",""707"",""770""]","{""tail"":""77"",""col"":""1"",""rowcov"":4,""perm"":1,""due_doubles_rank"":10,""ba_score"":0}",392,964,-,-
New Jersey,NewJersey4,Midday,A02,3,STR8_3,6,2,CONS/DBL,066,"[""066"",""606"",""660""]","{""tail"":""66"",""col"":""1"",""rowcov"":4,""perm"":1,""due_doubles_rank"":11,""ba_score"":1}",106,152,-,-
Ohio,Ohio4,Combined,A02,3,STR8_3,6,2,CONS/DBL,033,"[""033"",""303"",""330""]","{""tail"":""33"",""col"":""1"",""rowcov"":4,""perm"":1,""due_doubles_rank"":12,""ba_score"":1}",734,368,-,-
Ohio,Ohio4,Combined,A02,3,STR8_3,6,2,CONS/DBL,033,"[""033"",""303"",""330""]","{""tail"":""33"",""col"":""2"",""rowcov"":4,""perm"":1,""due_doubles_rank"":12,""ba_score"":1}",734,368,-,-
Pennsylvania,Pennsylvania4,Midday,A02,3,STR8_3,6,2,CONS/DBL/BA,022,"[""022"",""202"",""220""]","{""tail"":""22"",""col"":""1"",""rowcov"":4,""perm"":1,""due_doubles_rank"":5,""ba_score"":2}",164,040,-,-
Indiana,Indiana4,Combined,A03,3,OVERLAY,8,2,CONS/XVAR,-,,"{""cons_cross_sections"":2,""tail"":""08"",""col"":""1"",""sections"":[""Combined"",""Midday""]}",110,032,-,-
Michigan,Michigan4,Combined,A03,3,OVERLAY,8,2,CONS/XVAR,-,,"{""cons_cross_sections"":2,""tail"":""07"",""col"":""1"",""sections"":[""Combined"",""Evening""]}",392,964,-,-
Florida,Florida4,Evening,A04,4,BOX,12,3,PERSIST/BA,037,"[""037"",""073"",""307"",""370"",""703"",""730""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":3}",665,465,-,-
Michigan,Michigan4,Combined,A04,4,BOX,12,3,PERSIST/BA,048,"[""048"",""084"",""408"",""480"",""804"",""840""]","{""persistence_set_count"":2,""rowcov"":4,""ba_score"":3}",392,964,-,-
Virginia,Virginia4,Combined,A04,4,BOX,12,3,PERSIST/BA,245,"[""245"",""254"",""425"",""452"",""524"",""542""]","{""persistence_set_count"":2,""rowcov"":3,""ba_score"":3}",579,385,-,-
Connecticut,Connecticut4,Evening,A04,3,BOX,12,3,PERSIST/BA,368,"[""368"",""386"",""638"",""683"",""836"",""863""]","{""persistence_set_count"":2,""rowcov"":4,""ba_score"":2}",130,938,-,-
Delaware,Delaware4,Midday,A04,3,BOX,12,3,PERSIST,246,"[""246"",""264"",""426"",""462"",""624"",""642""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":1}",669,919,-,-
Indiana,Indiana4,Evening,A04,3,BOX,12,3,PERSIST,024,"[""024"",""042"",""204"",""240"",""402"",""420""]","{""persistence_set_count"":3,""rowcov"":4,""ba_score"":1}",110,032,-,-
