state,analyzer_label,analyzer_json,picked_html,combined_overlap_count,combined_overlap_tokens,combined_hot,combined_superhot,combined_consensus_col1,combined_consensus_col2,combined_stable_columns,combined_mask_drop,combined_reduction_hits,combined_mirror_supported,combined_double_hits,combined_analyzer_top_straights,midday_overlap_count,midday_overlap_tokens,midday_hot,midday_superhot,midday_consensus_col1,midday_consensus_col2,midday_stable_columns,midday_mask_drop,midday_reduction_hits,midday_mirror_supported,midday_double_hits,midday_analyzer_top_straights,evening_overlap_count,evening_overlap_tokens,evening_hot,evening_superhot,evening_consensus_col1,evening_consensus_col2,evening_stable_columns,evening_mask_drop,evening_reduction_hits,evening_mirror_supported,evening_double_hits,evening_analyzer_top_straights
Connecticut4,primary,data/outputs/analysis/vtrac/Connecticut4/Connecticut4_vtrac_enhanced_20251223_052409.json,reports/stable/winners_by_date/2025-06-23/Connecticut4/Connecticut4_vtrac33_winner_938_20251223_052042.html,5,V4x2_5x2;V4x2_5x2_1x1;V5x2_1x1;V5x2_4x1;V5x3_1x2_4x2,8,12,0,0,5;4;3;2;1,19,316,22,554,507;705;057;075;250;052,4,V1x3_3x2;V1x3_3x2_5x1;V1x4_3x2_5x1;V3x2_1x1,8,12,0,0,5;4;3;2;1,12,206,12,390,507;705;057;075;250;052,5,V2x2_5x2_4x1;V2x3_4x2_5x2;V2x4_4x2_5x2;V5x2_2x1;V5x2_2x1_4x1,8,12,0,0,5;4;3;2;1,17,306,22,580,507;705;057;075;250;052
Delaware4,primary,data/outputs/analysis/vtrac/Delaware4/Delaware4_vtrac_enhanced_20251223_052409.json,reports/stable/winners_by_date/2025-06-23/Delaware4/Delaware4_vtrac25_winner_919_20251223_052044.html,2,V2x2_4x2_1x1;V4x2_1x1_2x1,8,12,0,0,3;2;1,15,128,19,619,013;386;138;683;836;183,1,V2x1_3x1_5x1,8,12,0,0,2;1,14,127,18,522,013;386;138;683;836;183,3,V4x3;V4x4_5x2;V4x4_5x3_2x1,8,12,0,0,5;4;3;2;1,12,116,15,574,013;386;138;683;836;183
Florida4,primary,data/outputs/analysis/vtrac/Florida4/Florida4_vtrac_enhanced_20251223_052410.json,reports/stable/winners_by_date/2025-06-23/Florida4/Florida4_vtrac9_winner_465_20251223_052046.html,1,V4x2_2x1_3x1,8,12,0,0,2;1,18,174,18,548,016;061;520;250;052;867,2,V2x2_1x1;V2x2_1x1_5x1,8,12,0,0,3;2;1,16,154,12,338,016;061;520;250;052;867,2,V1x1_3x1_4x1;V1x2_3x1_4x1,8,12,0,0,3;2;1,13,147,8,423,016;061;520;250;052;610
Indiana4,primary,data/outputs/analysis/vtrac/Indiana4/Indiana4_vtrac_enhanced_20251223_052411.json,reports/stable/winners_by_date/2025-06-23/Indiana4/Indiana4_vtrac11_winner_032_20251223_052049.html,2,V1x1_3x1_4x1;V1x2_4x1,8,12,0,0,2;1,13,198,12,254,540;054;045;504;084;584,2,V1x2_4x1;V2x1_4x1_5x1,8,12,0,0,2;1,16,242,14,352,540;054;045;504;084;584,3,V1x1_3x1_5x1;V3x3_4x1_5x1;V3x3_5x1,8,12,0,0,3;2;1,19,263,19,336,540;054;045;504;084;584
Michigan4,primary,data/outputs/analysis/vtrac/Michigan4/Michigan4_vtrac_enhanced_20251223_052412.json,reports/stable/winners_by_date/2025-06-23/Michigan4/Michigan4_vtrac25_winner_964_20251223_052052.html,2,V1x1_4x1_5x1;V3x1_4x1_5x1,8,12,0,0,2;1,20,206,21,355,084;087;708;752;527;702,3,V3x2_1x1;V3x3_1x1;V3x3_1x1_5x1,8,12,0,0,4;3;2;1,19,184,18,414,752;527;702;547;257;725,2,V1x1_3x1_5x1;V1x2_5x1,8,12,0,0,2;1,22,236,20,414,084;087;708;752;527;702
NewJersey4,primary,data/outputs/analysis/vtrac/NewJersey4/NewJersey4_vtrac_enhanced_20251223_052412.json,reports/stable/winners_by_date/2025-06-23/NewJersey4/NewJersey4_vtrac7_winner_152_20251223_052054.html,4,V2x2_3x1;V2x2_3x2;V2x2_3x2_4x1;V2x3_3x3_4x2,8,12,0,0,5;4;3;2;1,16,99,17,707,867;687;786;817;871;068,2,V2x2_1x1;V2x2_1x1_4x1,8,12,0,0,3;2;1,20,117,22,752,867;687;786;817;871;068,1,V1x2_2x1,8,12,0,0,1,19,118,18,770,867;687;786;817;871;068
NewYork4,primary,data/outputs/analysis/vtrac/NewYork4/NewYork4_vtrac_enhanced_20251223_052413.json,reports/stable/winners_by_date/2025-06-23/NewYork4/NewYork4_vtrac20_winner_767_20251223_052056.html,3,V5x3_2x1_3x1;V5x4_2x1_3x1;V5x4_2x2_3x1,8,12,0,0,4;3;2;1,14,202,9,375,964;194;416;619;641;406,1,V2x2_4x1_5x1,8,12,0,0,2;1,14,194,7,354,964;194;416;619;641;406,2,V3x2_1x1_5x1;V3x2_5x2_1x1,8,12,0,0,3;2;1,11,140,11,266,964;194;406;604;864;684
NorthCarolina4,primary,data/outputs/analysis/vtrac/NorthCarolina4/NorthCarolina4_vtrac_enhanced_20251223_052414.json,reports/stable/winners_by_date/2025-06-23/NorthCarolina4/NorthCarolina4_vtrac9_winner_145_20251223_052059.html,2,V4x2_5x1;V4x3_2x1_5x1,8,12,0,0,2;1,12,79,19,597,138;813;386;683;836;183,2,V1x1_2x1_4x1;V1x2_4x1,8,12,0,0,2;1,9,91,13,470,138;813;386;683;836;183,2,V1x1_2x1_5x1;V1x2_2x2_5x1,8,12,0,0,3;2;1,13,100,22,689,138;813;386;683;836;183
Ohio4,primary,data/outputs/analysis/vtrac/Ohio4/Ohio4_vtrac_enhanced_20251223_052415.json,reports/stable/winners_by_date/2025-06-23/Ohio4/Ohio4_vtrac23_winner_368_20251223_052102.html,3,V4x2_1x1;V4x3_1x1_2x1;V4x3_1x2_2x2,8,12,0,0,5;4;3;2;1,13,219,12,470,683;386;948;934;853;594,3,V1x1_4x1_5x1;V1x2_4x1;V5x2_1x1_4x1,8,12,0,0,3;2;1,15,240,15,501,683;386;948;934;853;594,3,V1x2_4x1;V1x2_4x2_5x2;V1x3,8,12,0,0,4;3;2;1,16,247,16,523,683;386;948;934;853;594
OntarioCanada4,primary,data/outputs/analysis/vtrac/OntarioCanada4/OntarioCanada4_vtrac_enhanced_20251223_052415.json,reports/stable/winners_by_date/2025-06-23/OntarioCanada4/OntarioCanada4_vtrac33_winner_438_20251223_052105.html,3,V1x2_5x2;V1x3_5x3;V5x3_1x2,8,12,0,0,4;3;2;1,15,150,18,453,594;094;940;059;590;095,2,V1x1_2x1_5x1;V5x2_1x1_2x1,8,12,0,0,2;1,17,145,26,463,594;094;940;059;590;095,2,V3x2_1x1_5x1;V3x2_5x1,8,12,0,0,3;2;1,14,144,18,425,594;094;940;059;590;095
Pennsylvania4,primary,data/outputs/analysis/vtrac/Pennsylvania4/Pennsylvania4_vtrac_enhanced_20251223_052416.json,reports/stable/winners_by_date/2025-06-23/Pennsylvania4/Pennsylvania4_vtrac5_winner_040_20251223_052107.html,2,V1x1_2x1_5x1;V5x2_2x1_4x1,8,12,0,0,3;2;1,17,172,24,410,018;019;208;201;871;817,2,V3x2_1x1;V3x2_4x1_5x1,8,12,0,0,2;1,19,170,26,401,018;019;208;201;871;817,2,V4x2_2x1;V4x3_1x1_2x1,8,12,0,0,3;2;1,17,161,20,350,018;019;208;201;871;817
PuertoRico4,primary,data/outputs/analysis/vtrac/PuertoRico4/PuertoRico4_vtrac_enhanced_20251223_052417.json,reports/stable/winners_by_date/2025-06-23/PuertoRico4/PuertoRico4_vtrac15_winner_454_20251223_052109.html,2,V1x2_3x2_5x1;V3x2_1x1_5x1,8,12,0,0,3;2;1,13,154,7,582,024;240;092;047;204;924,2,V1x1_2x1_4x1;V1x2_4x1,8,12,0,0,4;3;2;1,10,145,5,434,024;240;092;047;204;924,1,V5x3_1x2_3x2,8,12,0,0,2;1,13,154,7,582,024;240;092;047;204;924
SouthCarolina4,primary,data/outputs/analysis/vtrac/SouthCarolina4/SouthCarolina4_vtrac_enhanced_20251223_052418.json,reports/stable/winners_by_date/2025-06-23/SouthCarolina4/SouthCarolina4_vtrac24_winner_314_20251223_052111.html,1,V1x2_2x1,8,12,0,0,2;1,18,189,19,335,534;345;341;134;524;175,1,V2x2_4x2_1x1,8,12,0,0,2;1,23,208,26,448,534;153;541;345;341;531,3,V1x1_4x1_5x1;V4x2_5x2;V5x3_4x2_3x1,8,12,0,0,4;3;2;1,20,195,22,344,534;153;345;531;135;524
Virginia4,primary,data/outputs/analysis/vtrac/Virginia4/Virginia4_vtrac_enhanced_20251223_052419.json,reports/stable/winners_by_date/2025-06-23/Virginia4/Virginia4_vtrac13_winner_385_20251223_052115.html,1,V1x2_3x1_5x1,8,12,0,0,4;3;2;1,13,246,7,531,540;504;045;524;407;705,4,V1x3;V1x3_3x1;V1x3_3x2_5x1;V1x3_3x2_5x2,8,12,0,0,4;3;2;1,11,225,7,546,540;504;045;524;407;705,2,V1x2_4x1_5x1;V1x2_5x1,8,12,0,0,2;1,14,267,5,542,540;504;045;524;407;705
