section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Combined,Set1,Draw1,1,25,3,2,0,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,7,3,7,0,0,1,0,446:01:00,644:02:00,6,4,1,0,0,1,2,0,0,0,0,1,10,1,0,0,26,104,2,FALSE,FALSE
Combined,Set1,Draw1,1,31,2,2,0,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,7,3,7,1,0,1,0,447:01:00,447:01:00,4,7,1,0,0,1,0,0,0,0,0.5,1,10,0,1,0,25.5,104,1,TRUE,FALSE
Combined,Set1,Draw1,1,22,4,4,0,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,7,1,7,2,0,2,0,4467:1;467:1,4467:1;467:1,8,3,3,0,0,1,0,0,0,0,0.5,0,6,0,0,0,21.5,69.5,1,FALSE,FALSE
Combined,Set1,Draw1,2,25,3,2,0,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,7,3,7,0,0,1,0,446:01:00,644:02:00,6,4,1,0,0,1,2,0,0,0,0,1,10,1,0,0,26,104,2,FALSE,FALSE
Combined,Set1,Draw1,2,31,2,2,0,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,7,3,7,1,0,1,0,447:01:00,447:01:00,4,7,1,0,0,1,0,0,0,0,0.5,1,10,0,1,0,25.5,104,1,TRUE,FALSE
Combined,Set1,Draw1,2,22,4,4,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,7,1,7,2,0,2,0,4467:1;467:1,4467:1;467:1,8,3,3,0,0,1,0,0,0,0,0.5,0,6,0,0,0,21.5,69.5,1,FALSE,FALSE
Combined,Set1,Draw1,3,25,3,2,0,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,7,3,7,0,0,1,0,446:01:00,644:02:00,6,4,1,0,0,1,2,0,0,0,0,1,10,1,0,0,26,104,2,FALSE,FALSE
Combined,Set1,Draw1,3,31,2,2,0,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,7,3,7,1,0,1,0,447:01:00,447:01:00,4,7,1,0,0,1,0,0,0,0,0.5,1,10,0,1,0,25.5,104,1,TRUE,FALSE
Combined,Set1,Draw1,3,22,4,4,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,7,1,7,2,0,2,0,4467:1;467:1,4467:1;467:1,8,3,3,0,0,1,0,0,0,0,0.5,0,6,0,0,0,21.5,69.5,1,FALSE,FALSE
Combined,Set1,Draw1,4,31,2,2,0,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,7,3,7,1,1,0,0,447:01:00,447:01:00,4,7,1,0,0,1,0,0,0,0,0.5,1,10,0,1,0,25.5,104,1,TRUE,FALSE
Combined,Set1,Draw1,4,21,3,3,0,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,3,4,0,1,0,0,678:01:00,867:01:00,6,4,2,0,0,1,0,0,0,0,0,0,7,0,0,0,20,44,1,FALSE,FALSE
Combined,Set1,Draw1,4,25,1,1,0,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,7,3,7,0,1,0,0,446:01:00,644:01:00,2,4,0,0,0,1,0,0,0,0,0,1,10,1,0,0,19,104,2,FALSE,FALSE
Combined,Set1,Draw1,4,34,2,2,0,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,3,2,0,1,0,0,448:01:00,448:01:00,4,4,1,0,0,1,0,0,0,0,0,1,5,1,1,0,18,62.5,2,TRUE,FALSE
Combined,Set1,Draw1,4,30,2,2,0,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,2,0,2,0,0,4478:1;478:1,8447:1;874:1,4,4,1,0,0,1,0,0,0,0,0,0,3,0,1,0,14,32.5,1,TRUE,FALSE
Combined,Set1,Draw1,4,24,3,3,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,1,2,0,2,0,0,4468:1;468:1,4486:1;486:1,6,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,12,38,2,FALSE,FALSE
Combined,Set1,Draw1,5,31,4,1,0,7,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,7,3,7,2,2,0,0,244:1;447:1,244:3;447:1,8,7,0,0,0,1,2,4,0,0,0.5,1,10,0,1,0,34.5,104,1,TRUE,FALSE
Combined,Set1,Draw1,5,23,4,2,0,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,3,0,1,0,0,688:01:00,886:02:00,8,3,1,0,0,1,2,0,0,0,0,1,6,1,0,0,23,40,2,FALSE,FALSE
Combined,Set1,Draw1,5,21,4,3,0,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,3,4,0,5,0,0,6788:1;678:1;2688:1,8867:1;867:1;2688:1,8,4,2,0,0,1,0,0,0,0,0,0,7,0,0,0,22,44,1,FALSE,FALSE
Combined,Set1,Draw1,5,34,2,2,0,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,3,2,0,2,0,0,448:1;4488:1,448:1;4488:1,4,4,1,0,0,1,0,0,0,0,0,1,5,1,1,0,18,62.5,2,TRUE,FALSE
Combined,Set1,Draw1,5,33,2,2,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,3,2,0,1,0,0,488:01:00,488:01:00,4,3,1,0,0,1,0,0,0,0,0,1,5,1,1,0,17,39.5,2,TRUE,FALSE
Combined,Set1,Draw1,5,29,2,2,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,3,2,0,1,0,0,788:01:00,887:01:00,4,3,1,0,0,1,0,0,0,0,0,1,5,0,1,0,16,31.5,1,TRUE,FALSE
Combined,Set1,Draw1,5,30,3,1,0,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,2,0,8,0,0,44788:1;4478:1;244788:1,88447:1;8447:1;887244:1,6,4,0,0,0,1,0,0,0,0,0,0,3,0,1,0,15,32.5,1,TRUE,FALSE
Combined,Set1,Draw1,5,22,1,1,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,6,1,6,2,2,0,0,2446:1;246:1,6244:1;624:1,2,3,0,0,0,1,0,0,0,0,0.5,0,5,0,0,0,11.5,69.5,1,FALSE,FALSE
Combined,Set1,Draw1,5,24,2,2,0,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,1,2,0,2,0,0,44688:1;4688:1,44886:1;4886:1,4,3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,11,38,2,FALSE,FALSE
Combined,Set1,Draw1,5,28,1,1,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,4,1,4,2,2,0,0,2447:1;247:1,7244:1;724:1,2,1,0,0,0,1,0,0,0,0,0.5,0,3,0,0,0,7.5,61,1,FALSE,FALSE
Combined,Set1,Draw1,5,27,1,1,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0,2,0,0,2788:1;278:1,8872:1;872:1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,47,1,FALSE,FALSE
Combined,Set1,Draw1,6,31,4,1,0,7,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,7,3,7,2,0,0,0,244:1;447:1,244:3;447:1,8,7,0,0,0,0,2,4,0,0,0.5,1,10,0,1,0,33.5,104,1,TRUE,FALSE
Combined,Set1,Draw1,6,23,4,2,0,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,3,0,0,0,0,688:01:00,886:02:00,8,3,1,0,0,0,2,0,0,0,0,1,6,1,0,0,22,40,2,FALSE,FALSE
Combined,Set1,Draw1,6,21,3,3,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,3,4,0,0,0,0,6788:1;678:1;26788:1,8867:1;867:1;78862:1,6,4,2,0,0,0,0,0,0,0,0,0,7,0,0,0,19,44,1,FALSE,FALSE
Combined,Set1,Draw1,6,34,2,2,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,3,2,0,0,0,0,448:1;4488:1,448:1;4488:1,4,4,1,0,0,0,0,0,0,0,0,1,5,1,1,0,17,62.5,2,TRUE,FALSE
Combined,Set1,Draw1,6,33,2,2,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,3,2,0,0,0,0,488:01:00,488:01:00,4,3,1,0,0,0,0,0,0,0,0,1,5,1,1,0,16,39.5,2,TRUE,FALSE
Combined,Set1,Draw1,6,29,2,2,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,3,2,0,0,0,0,788:01:00,887:01:00,4,3,1,0,0,0,0,0,0,0,0,1,5,0,1,0,15,31.5,1,TRUE,FALSE
