section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Evening,Set3,Draw1,5,13,3,1,0.0,3,0.0,True,True,False,False,False,False,False,2,1,2,1,0,0,0,0,033:1,033:3,6,3,0,0.0,0,0,2,4,0,0,0.0,1,2,1,0,0.0,19.0,25.0,2,False,False
Evening,Set3,Draw1,6,13,3,1,0.0,3,0.0,True,False,False,False,False,False,False,2,1,2,1,0,0,0,0,033:1;335:1,033:2;533:1,6,3,0,0.0,0,0,2,0,0,0,0.0,1,2,0,1,0.0,15.0,25.0,1,True,False
Evening,Set3,Draw1,7,13,3,2,0.0,3,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,033:1;00338:1;335:1,033:1;00338:1;533:1,6,3,1,0.0,0,0,0,0,0,0,0.0,1,2,1,0,0.0,14.0,25.0,2,False,False
Combined,Set3,Draw1,5,35,2,1,0.0,3,0.0,True,False,False,False,False,False,False,2,1,2,1,0,0,0,0,449:1,944:2,4,3,0,0.0,0,0,2,0,0,0,0.0,1,2,0,0,0.0,12.0,20.5,1,False,False
Combined,Set2,Draw1,6,35,2,1,0.0,2,0.0,True,False,False,False,False,False,False,2,1,2,1,0,0,0,0,449:1,944:2,4,2,0,0.0,0,0,2,0,0,0,0.0,1,2,0,1,0.0,12.0,20.5,1,True,False
Combined,Set3,Draw1,4,13,2,2,0.0,2,1.0,False,False,False,False,False,False,False,2,1,2,1,0,1,0,0,588:1,588:1,4,2,1,0.0,0,1,0,0,0,0,0.0,1,2,0,0,0.0,11.0,25.0,1,False,False
Midday,Set1,Draw3,4,13,2,2,0.0,1,0.0,False,False,False,False,False,False,False,2,2,2,2,0,0,0,0,038:1,038:1,4,1,1,0.0,0,0,0,0,0,0,0.0,0,3,1,0,0.0,10.0,25.0,2,False,False
Combined,Set1,Draw2,5,13,2,1,0.0,1,0.0,True,False,False,False,False,False,False,1,2,1,2,0,0,0,0,088:1,088:2,4,1,0,0.0,0,0,2,0,0,0,0.0,1,1,0,0,0.0,9.0,25.0,1,False,False
Combined,Set3,Draw1,5,13,1,1,0.0,2,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,588:1,885:1,2,2,0,0.0,0,0,0,0,0,0,0.0,1,2,1,1,0.0,9.0,25.0,2,True,False
Combined,Set2,Draw1,7,35,1,1,0.0,2,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,449:1,944:1,2,2,0,0.0,0,0,0,0,0,0,0.0,1,2,1,1,0.0,9.0,20.5,2,True,False
Midday,Set1,Draw6,2,13,2,2,0.0,1,0.0,False,False,False,False,False,False,False,2,2,2,2,0,0,0,0,038:1,038:1,4,1,1,0.0,0,0,0,0,0,0,0.0,0,3,0,0,0.0,9.0,25.0,1,False,False
Evening,Set1,Draw1,7,13,1,1,0.0,3,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,335:1,533:1,2,3,0,0.0,0,0,0,0,0,0,0.0,1,2,1,0,0.0,9.0,25.0,2,False,False
Evening,Set1,Draw1,5,13,1,1,0.0,3,1.0,False,False,False,False,False,False,False,2,1,2,1,0,1,0,0,335:1,533:1,2,3,0,0.0,0,1,0,0,0,0,0.0,1,2,0,0,0.0,9.0,25.0,1,False,False
Evening,Set1,Draw1,6,13,1,1,0.0,3,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,335:1,533:1,2,3,0,0.0,0,0,0,0,0,0,0.0,1,2,0,1,0.0,9.0,25.0,1,True,False
Combined,Set3,Draw1,6,35,1,1,0.0,3,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,449:1,944:1,2,3,0,0.0,0,0,0,0,0,0,0.0,1,2,0,1,0.0,9.0,20.5,1,True,False
Combined,Set3,Draw1,7,35,1,1,0.0,3,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,449:1;499:1;4499:1,944:1;994:1;9944:1,2,3,0,0.0,0,0,0,0,0,0,0.0,1,2,0,1,0.0,9.0,20.5,1,True,False
Evening,Set2,Draw1,6,13,1,1,0.0,1,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,033:1,033:1,2,1,0,0.0,0,0,0,0,0,0,0.0,1,2,0,1,0.0,7.0,25.0,1,True,False
Combined,Set2,Draw1,5,13,1,1,0.0,1,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,588:1,588:1,2,1,0,0.0,0,0,0,0,0,0,0.0,1,2,0,1,0.0,7.0,25.0,1,True,False
Midday,Set1,Draw4,4,13,1,1,0.0,1,0.0,False,False,False,False,False,False,False,2,2,2,2,0,0,0,0,038:1;0388:1,038:1;0388:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,3,1,0,0.0,7.0,25.0,2,False,False
Midday,Set3,Draw1,7,13,1,1,0.0,1,0.0,False,False,False,False,False,False,False,2,1,2,1,0,0,0,0,038:1,083:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,2,1,0,0.0,6.0,25.0,2,False,False
Combined,Set1,Draw1,7,13,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,2,1,2,0,0,0,0,088:1,088:1,2,1,0,0.0,0,0,0,0,0,0,0.0,1,1,1,0,0.0,6.0,25.0,2,False,False
Evening,Set1,Draw5,3,13,1,1,0.0,1,0.0,False,False,False,False,False,True,False,2,1,2,1,0,0,0,0,038:1;0388:1,038:1;0388:1,2,1,0,0.0,0,0,0,0,0,1,0.0,0,2,0,0,0.0,6.0,25.0,1,False,False
Evening,Set2,Draw1,7,35,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,449:1,944:1,2,1,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0.0,5.0,20.5,2,False,False
Combined,Set1,Draw4,4,13,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,0338:1;033:1,0338:1;033:1,2,1,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0.0,5.0,25.0,2,False,False
Combined,Set1,Draw3,4,13,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,038:1,038:1,2,1,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,4.0,25.0,2,False,False
Midday,Set1,Draw4,4,35,1,1,0.0,1,0.0,False,False,False,False,False,False,False,1,1,1,1,0,0,0,0,449:1,944:1,2,1,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0.0,4.0,20.5,1,False,False
