section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,336,23.0,81.0,28.5,1,7,0,False,6,11,7,0,0,12,28,28,boxed|cov3|hp_repeat7|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain7;boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain7,draw_chain7|col1x7|hot1x6|hot2x11|vstrx12|dblmirrorx28
Combined,033,13.0,74.0,29.5,1,5,0,False,2,11,5,0,0,15,15,15,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5;straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x5|hot1x2|hot2x11|vstrx15|dblmirrorx15
Combined,013,8.0,73.5,28.5,3,7,1,False,14,6,6,0,0,9,0,30,boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|set_chain3|draw_chain7;boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x6|hot1x14|hot2x6|vstrx9
Combined,133,23.0,70.5,25.5,1,7,0,False,6,8,4,0,0,11,25,25,boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain7;boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain7,draw_chain7|col1x4|hot1x6|hot2x8|vstrx11|dblmirrorx25
Combined,006,2.0,68.5,22.5,1,6,0,False,4,8,6,0,0,14,21,21,boxed|cov2|hp_repeat6|hot2|perm2|hidden3v|double_mirror|draw_chain6;straight|cov1|hp_repeat5|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain6,draw_chain6|col1x6|hot1x4|hot2x8|vstrx14|dblmirrorx21
Combined,003,4.0,64.5,28.5,1,4,0,False,2,8,4,0,0,12,12,12,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x2|hot2x8|vstrx12|dblmirrorx12
Combined,168,18.0,64.0,25.5,3,7,0,False,10,5,4,0,0,14,0,28,straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain7;straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x4|hot1x10|hot2x5|vstrx14
Combined,338,32.0,63.0,27.5,1,7,0,False,5,6,5,0,0,0,22,22,boxed|cov3|hp_repeat5|vstr2|mirror|hot2|perm2|hidden3v|double_mirror|draw_chain7;boxed|cov3|hp_repeat4|vstr2|mirror|hot2|perm2|hidden3v|double_mirror|draw_chain7,draw_chain7|col1x5|hot1x5|hot2x6|dblmirrorx22
Combined,0368,8.0,61.0,25.5,3,6,0,False,6,6,4,0,0,13,0,15,straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain6;straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain6,set_chain3|draw_chain6|col1x4|hot1x6|hot2x6|vstrx13
Combined,334,33.0,60.0,25.0,1,5,0,False,2,6,5,0,0,12,15,15,straight|cov2|hp_repeat5|vstr2|hot2|double_mirror|vtrac_straight|draw_chain5;straight|cov2|hp_repeat4|vstr2|hot2|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x5|hot1x2|hot2x6|vstrx12|dblmirrorx15
Combined,068,8.0,59.5,24.5,3,6,0,False,6,6,4,0,0,12,0,17,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain6;boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|set_chain3|draw_chain6,set_chain3|draw_chain6|col1x4|hot1x6|hot2x6|vstrx12
Combined,368,23.0,59.0,24.5,3,7,0,False,10,6,5,0,0,0,0,30,boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v|set_chain3|draw_chain7;boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x5|hot1x10|hot2x6
Combined,0033,4.0,58.5,28.5,1,4,0,False,2,8,4,0,0,12,0,12,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x2|hot2x8|vstrx12
Combined,0168,8.0,57.5,24.5,3,7,1,False,10,3,4,0,0,9,0,21,straight|cov1|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain7;straight|cov1|mirror|hot2|hidden3v|vtrac_straight|set_chain3|draw_chain7,set_chain3|draw_chain7|col1x4|hot1x10|hot2x3|vstrx9
Combined,003368,8.0,57.0,30.5,1,5,0,False,3,6,4,0,0,10,0,12,boxed|cov4|hp_repeat3|mirror|hot2|dom_last|perm4|hidden3v|draw_chain5;straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain5,draw_chain5|col1x4|hot1x3|hot2x6|vstrx10
Combined,001,2.0,57.0,24.5,1,6,0,False,4,6,4,0,0,0,19,19,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain6;boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain6,draw_chain6|col1x4|hot1x4|hot2x6|dblmirrorx19
