section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Combined,Set1,Draw1,1,488,boxed,32.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,1,884,3,33.0,True,8,1,1,0.0,7,0,0,4,0,4.0,0,0.5,0,0,6,1,7,1,True,boxed|cov4|vstr2|vstr3|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain7
Combined,Set1,Draw2,1,488,boxed,32.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,1,884,3,33.0,True,8,1,1,0.0,7,0,0,4,0,4.0,0,0.5,0,0,6,1,7,1,True,boxed|cov4|vstr2|vstr3|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain7
Combined,Set1,Draw3,1,488,boxed,32.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,1,884,3,33.0,True,8,1,1,0.0,7,0,0,4,0,4.0,0,0.5,0,0,6,1,7,1,True,boxed|cov4|vstr2|vstr3|hot2|dom_last|perm2|hidden3v|double_mirror|draw_chain7
Evening,Set1,Draw7,1,244,straight,32.0,"R2,R6,R8",False,True,True,True,False,False,False,True,False,0,1,0,1,244,3,31.0,True,6,1,0,0.0,9,4,0,0,0,4.5,0,0.5,2,4,0,3,1,1,True,straight|cov3|vstr2|vstr3|single_left|dom_last|hidden3v|double_mirror|vtrac_straight|set_chain3
Midday,Set1,Draw3,1,334,straight,31.5,"R4,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,5,334,3,33.0,True,6,5,0,0.0,9,0,0,4,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5
Midday,Set1,Draw2,1,034,boxed,30.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2,0,3,034,3,14.0,False,8,3,1,0.0,7,0,0,4,0,3.0,0,0.0,0,2,2,2,3,0,False,boxed|cov4|hp_repeat3|vstr2|vstr3|hot2|dom_last|perm2|set_chain2|draw_chain3
Combined,Set1,Draw6,1,688,boxed,29.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,2,0,2,886,2,23.0,True,8,2,1,0.0,3,0,0,2,0,4.0,0,0.5,0,2,6,2,7,1,True,boxed|cov4|hp_repeat2|vstr2|hot1|dom_last|perm2|hidden3v|double_mirror|set_chain2|draw_chain7
Combined,Set1,Draw7,1,244,straight,28.5,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,1,0,1,244,3,31.0,True,6,1,0,0.0,9,4,0,0,0,0.0,0,0.5,2,4,1,3,2,1,True,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain2
Evening,Set2,Draw1,1,455,boxed,28.5,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2,0,7,554,3,5.0,True,8,7,1,0.0,7,0,0,2,0,0.0,0,0.5,0,2,0,2,1,1,True,boxed|cov4|hp_repeat7|vstr2|vstr3|hot1|perm2|hidden3v|double_mirror|set_chain2
Evening,Set1,Draw1,1,456,boxed,28.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,4,0,3,546,1,9.0,False,8,3,3,0.0,1,0,0,4,0,3.0,0,0.0,0,4,2,3,3,0,False,boxed|cov4|hp_repeat3|hot2|dom_last|perm4|set_chain3|draw_chain3
Evening,Set1,Draw2,1,456,boxed,28.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,4,0,3,546,1,9.0,False,8,3,3,0.0,1,0,0,4,0,3.0,0,0.0,0,4,2,3,3,0,False,boxed|cov4|hp_repeat3|hot2|dom_last|perm4|set_chain3|draw_chain3
Evening,Set1,Draw3,1,456,boxed,28.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,4,0,3,546,1,9.0,False,8,3,3,0.0,1,0,0,4,0,3.0,0,0.0,0,4,2,3,3,0,False,boxed|cov4|hp_repeat3|hot2|dom_last|perm4|set_chain3|draw_chain3
Midday,Set1,Draw1,1,3,straight,28.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,False,2,1,0,1,3,4,,False,8,1,0,0.0,9,0,6,4,0,0.0,-2,0.0,2,0,0,1,1,0,False,straight|cov4|vstr2|vstr3|cons_full|consensus_tail|hot2|vtrac_straight
