section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Midday,Set3,Draw1,7,7,3,2,0.0,6,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,026:1;017:1;0226:1,206:1;170:1;2206:1,6,6,1,0.0,0,0,0,0,0,0,0.0,0,4,4,1,0.0,22.0,36.0,3,True,False,562,682,True,True,True
Midday,Set3,Draw1,6,7,4,3,0.0,6,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,026:1;011667:1;01122667:1,206:1;011667:1;66117022:1,8,6,2,0.0,0,0,0,0,0,0,0.0,0,4,0,1,0.0,21.0,36.0,1,True,False,562,682,True,True,True
Midday,Set3,Draw1,3,7,3,3,0.0,6,1.0,False,False,False,False,False,False,False,3,1,3,1,0,1,0,0,026:1,206:1,6,6,2,0.0,0,1,0,0,0,0,0.0,0,4,1,1,0.0,21.0,36.0,2,True,False,562,682,True,True,True
Midday,Set3,Draw1,5,7,4,3,0.0,6,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,026:1;017:1;0167:1,206:1;170:1;0167:1,8,6,2,0.0,0,0,0,0,0,0,0.0,0,4,0,1,0.0,21.0,36.0,1,True,False,562,682,True,True,True
Midday,Set1,Draw1,7,21,3,1,0.0,5,0.0,False,False,False,False,False,False,True,2,3,2,3,14,0,0,0,236:1;13678:1;22368:1,362:1;13867:1;83622:1,6,5,0,0.0,0,0,0,0,0,0,0.5,0,4,4,1,0.0,20.5,40.5,3,True,False,562,682,True,True,True
Midday,Set3,Draw1,4,7,3,3,0.0,6,1.0,False,False,False,False,False,False,False,3,1,3,1,0,2,0,0,026:1;0226:1,206:1;2206:1,6,6,2,0.0,0,1,0,0,0,0,0.0,0,4,0,1,0.0,20.0,36.0,1,True,False,562,682,True,True,True
Midday,Set1,Draw1,3,21,3,3,0.0,5,1.0,False,False,False,False,False,False,True,2,3,2,3,1,0,1,0,236:1,263:1,6,5,2,0.0,0,1,0,0,0,0,0.5,0,4,0,1,0.0,19.5,40.5,1,True,False,562,682,True,True,True
Midday,Set3,Draw1,2,7,3,3,0.0,6,1.0,False,False,False,False,False,False,False,3,1,3,1,0,1,0,0,026:1,206:1,6,6,2,0.0,0,1,0,0,0,0,0.0,0,4,0,0,0.0,19.0,36.0,1,False,False,562,682,True,True,True
Evening,Set1,Draw6,1,21,2,2,0.0,2,1.0,False,False,False,False,False,True,True,2,4,2,4,2,2,0,0,678:1;6788:1,867:1;8867:1,4,2,1,0.0,0,1,0,0,0,1,0.5,0,5,4,0,0.0,18.5,40.5,3,False,False,562,682,True,True,True
Evening,Set1,Draw7,1,21,3,2,0.0,1,0.0,False,False,False,False,False,True,True,2,4,2,4,4,0,0,0,678:1;6788:1;2688:1,867:1;8867:1;8862:1,6,1,1,0.0,0,0,0,0,0,1,0.5,0,5,4,0,0.0,18.5,40.5,3,False,False,562,682,True,True,True
