section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Evening,Set1,Draw1,4,14,4,3,0.0,4,1.0,True,False,False,False,False,False,False,3,3,3,3,0,10,0,0,058899:1;05899:1;08899:1,599088:2;59908:2;99088:2,8,4,2,0.0,0,1,2,0,0,0,0.0,0,6,1,1,0.0,25.0,50.0,2,True,False,697,403,True,True,True
Midday,Set1,Draw2,3,14,4,4,0.0,4,1.0,False,False,False,False,False,True,False,3,4,3,4,0,6,0,0,03899:1;0899:1;0399:1,99038:1;9908:1;9903:1,8,4,3,0.0,0,1,0,0,0,1,0.0,0,7,1,0,0.0,25.0,50.0,2,False,False,697,403,True,True,True
Evening,Set3,Draw1,3,14,4,3,0.0,6,1.0,True,False,False,False,False,True,False,3,1,3,1,0,5,0,0,05889:1;0889:1;0589:1,59088:2;9088:2;5908:2,8,6,2,0.0,0,1,2,0,0,1,0.0,0,4,0,1,0.0,25.0,50.0,1,True,False,697,403,True,True,True
Midday,Set1,Draw1,3,14,4,2,0.0,4,1.0,True,False,False,False,False,True,False,3,4,3,4,0,0,2,0,0399:1;039:1,9903:2;903:2,8,4,1,0.0,0,1,2,0,0,1,0.0,0,7,0,1,0.0,25.0,50.0,1,True,False,697,403,True,True,True
Evening,Set3,Draw1,2,14,4,3,0.0,6,1.0,True,False,False,False,False,True,False,3,1,3,1,0,5,0,0,05889:1;0889:1;0589:1,59088:2;9088:2;5908:2,8,6,2,0.0,0,1,2,0,0,1,0.0,0,4,0,0,0.0,24.0,50.0,1,False,False,697,403,True,True,True
Evening,Set2,Draw1,3,14,4,3,0.0,4,1.0,True,False,False,False,False,True,False,3,1,3,1,0,10,0,0,058899:1;0889:1;05899:1,599088:2;9088:2;59908:2,8,4,2,0.0,0,1,2,0,0,1,0.0,0,4,1,1,0.0,24.0,50.0,2,True,False,697,403,True,True,True
Midday,Set1,Draw2,4,14,4,3,0.0,4,1.0,False,False,False,False,False,False,False,2,4,2,4,0,9,0,0,003899:1;00399:1;0399:1,990038:1;99003:1;0993:1,8,4,2,0.0,0,1,0,0,0,0,0.0,0,5,4,0,0.0,24.0,50.0,3,False,False,697,403,True,True,True
Midday,Set2,Draw1,3,14,4,2,0.0,5,1.0,True,False,False,False,False,True,False,3,1,3,1,0,2,0,0,0039:1;039:1,9003:2;093:2,8,5,1,0.0,0,1,2,0,0,1,0.0,0,4,1,1,0.0,24.0,50.0,2,True,False,697,403,True,True,True
Midday,Set1,Draw1,4,14,4,2,0.0,4,1.0,True,False,False,False,False,False,False,2,4,2,4,0,3,0,0,00399:1;0039:1;0399:1,99003:2;9003:2;0993:2,8,4,1,0.0,0,1,2,0,0,0,0.0,0,5,1,1,0.0,23.0,50.0,2,True,False,697,403,True,True,True
Evening,Set3,Draw1,6,14,3,3,0.0,6,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,0044889:1;00445889:1;0889:1,9440088:1;59440088:1;0988:1,6,6,2,0.0,0,0,0,0,0,0,0.0,0,4,4,1,0.0,23.0,50.0,3,True,False,697,403,True,True,True
