section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Evening,Set1,Draw3,3,12,4,3,0.0,3,1.0,True,False,False,False,False,True,True,3,7,3,7,12,12,0,0,2259:1;259:1;22459:1,5922:2;592:2;59224:2,8,3,2,0.0,0,1,2,0,0,1,0.5,0,10,4,0,0.0,31.5,58.5,3,False,False
Evening,Set1,Draw4,3,12,4,3,0.0,3,0.0,True,False,False,False,False,True,True,3,7,3,7,18,0,0,0,2259:1;259:1;22459:1,5922:2;592:2;59224:2,8,3,2,0.0,0,0,2,0,0,1,0.5,0,10,4,0,0.0,30.5,58.5,3,False,False
Evening,Set1,Draw1,3,12,4,3,0.0,4,1.0,True,False,False,False,False,False,True,3,7,3,7,2,0,2,0,2259:1;259:1,5922:2;592:2,8,4,2,0.0,0,1,2,0,0,0,0.5,0,10,1,1,0.0,29.5,58.5,2,True,False
Evening,Set1,Draw5,3,12,4,2,0.0,3,0.0,True,False,False,False,False,True,True,3,7,3,7,21,0,0,0,224599:1;22599:1;2259:1,599224:2;59922:2;5992:2,8,3,1,0.0,0,0,2,0,0,1,0.5,0,10,4,0,0.0,29.5,58.5,3,False,False
Evening,Set1,Draw6,1,12,4,2,0.0,2,1.0,True,False,False,True,False,True,True,3,7,3,7,21,21,0,0,22599:1;224599:1;2259:1,59922:2;599224:2;5992:2,8,2,1,0.0,0,1,2,0,0,1,0.5,0,10,4,0,0.0,29.5,58.5,3,False,False
Evening,Set1,Draw2,3,12,4,3,0.0,4,1.0,True,False,False,False,False,True,True,3,7,3,7,5,5,0,0,2259:1;259:1;02259:1,5922:2;592:2;59220:1,8,4,2,0.0,0,1,2,0,0,1,0.5,0,10,1,0,0.0,29.5,58.5,2,False,False
Combined,Set1,Draw3,3,12,4,2,0.0,5,1.0,True,False,False,False,False,True,True,2,5,2,5,14,14,0,0,24599:1;0024:1;2599:1,59924:2;5992:2;2400:1,8,5,1,0.0,0,1,2,0,0,1,0.5,0,6,4,0,0.0,28.5,58.5,3,False,False
Evening,Set1,Draw6,2,12,4,2,0.0,2,0.0,True,False,False,False,False,True,True,3,7,3,7,21,0,0,0,224599:1;22599:1;2259:1,599224:2;59922:2;5992:2,8,2,1,0.0,0,0,2,0,0,1,0.5,0,10,4,0,0.0,28.5,58.5,3,False,False
Midday,Set3,Draw1,4,20,4,3,0.0,5,1.0,True,True,False,False,False,False,False,3,1,3,1,0,6,0,0,677:1;226:1;22677:1,677:3;226:2;22677:2,8,5,2,0.0,0,1,2,4,0,0,0.0,1,4,0,1,0.0,28.0,38.0,1,True,False
Evening,Set1,Draw7,1,12,4,2,0.0,1,0.0,True,False,False,True,False,True,True,3,7,3,7,27,0,0,0,22599:1;224599:1;2259:1,59922:2;599224:2;5992:2,8,1,1,0.0,0,0,2,0,0,1,0.5,0,10,4,0,0.0,27.5,58.5,3,False,False
