section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set1,Draw3,1,244,straight,42.0,"R2,R6,R8",False,True,True,False,False,False,False,True,False,2,1,0,5,244,3,31.0,True,6,5,0,0.0,9,0,0,4,0,4.5,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|dom_last|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw4,1,244,straight,41.0,"R2,R6,R8",False,True,True,False,False,False,False,True,False,2,1,0,4,244,3,31.0,True,6,4,0,0.0,9,0,0,4,0,4.5,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|dom_last|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw5,1,244,straight,40.0,"R2,R6,R8",False,True,True,False,False,False,False,True,False,2,1,0,3,244,3,31.0,True,6,3,0,0.0,9,0,0,4,0,4.5,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|dom_last|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw1,1,244,straight,39.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,7,244,3,31.0,True,6,7,0,0.0,9,0,0,4,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw2,1,244,straight,38.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,6,244,3,31.0,True,6,6,0,0.0,9,0,0,4,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw1,3,244,straight,37.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,7,244,3,31.0,True,6,7,0,0.0,9,0,0,2,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw1,2,244,straight,37.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,7,244,3,31.0,True,6,7,0,0.0,9,0,0,2,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw2,2,244,straight,36.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,6,244,3,31.0,True,6,6,0,0.0,9,0,0,2,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw2,3,244,straight,35.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,6,244,3,31.0,True,6,6,0,0.0,9,0,0,1,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat6|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw3,2,244,straight,35.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,5,244,3,31.0,True,6,5,0,0.0,9,0,0,2,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw1,5,244,straight,34.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,7,244,3,31.0,True,6,7,0,0.0,9,0,0,1,0,0.0,0,0.5,0,4,6,3,7,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot1|hidden3v|double_mirror|set_chain3|draw_chain7
Evening,Set1,Draw1,4,244,straight,34.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,7,244,3,31.0,True,6,7,0,0.0,9,0,0,1,0,0.0,0,0.5,0,4,6,3,7,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hot1|hidden3v|double_mirror|set_chain3|draw_chain7
Evening,Set1,Draw3,3,244,straight,34.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1,0,5,244,3,31.0,True,6,5,0,0.0,9,0,0,1,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Evening,Set1,Draw4,2,244,straight,34.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,4,244,3,31.0,True,6,4,0,0.0,9,0,0,2,0,0.0,0,0.5,2,4,6,3,7,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain7
Combined,Set1,Draw5,1,2244,straight,34.0,"R2,R6,R8",False,True,True,False,False,False,False,True,False,2,1,0,3,2244,3,28.0,True,6,3,0,0.0,9,0,0,4,0,3.5,1,0.5,2,2,3,2,4,0,False,straight|cov3|hp_repeat3|vstr2|vstr3|hot2|dom_last|hidden3v|vtrac_straight|set_chain2|draw_chain4
Combined,Set1,Draw3,1,244,straight,33.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,5,244,3,31.0,True,6,5,0,0.0,9,0,0,4,0,0.0,0,0.5,2,2,4,2,5,1,True,straight|cov3|hp_repeat5|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain5
Combined,Set1,Draw4,1,224,straight,33.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1,0,4,224,3,28.0,True,6,4,0,0.0,9,0,0,4,0,0.0,0,0.5,2,4,3,3,4,1,True,straight|cov3|hp_repeat4|vstr2|vstr3|hot2|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain4
Evening,Set1,Draw1,7,244,straight,33.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,0,1,0,7,244,3,31.0,True,6,7,0,0.0,9,0,0,0,0,0.0,0,0.5,0,4,6,3,7,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hidden3v|double_mirror|set_chain3|draw_chain7
Evening,Set1,Draw1,6,244,straight,33.5,"R2,R6,R8",False,True,True,False,False,False,False,False,False,0,1,0,7,244,3,31.0,True,6,7,0,0.0,9,0,0,0,0,0.0,0,0.5,0,4,6,3,7,1,True,straight|cov3|hp_repeat7|vstr2|vstr3|hidden3v|double_mirror|set_chain3|draw_chain7
