section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Midday,Set1,Draw1,3,10,3,2,0.0,5,1.0,True,False,False,False,False,False,True,3,5,3,5,1,0,1,0,077:1,770:2,6,5,1,0.0,0,1,2,0,0,0,0.5,1,8,0,1,0.0,25.5,59.0,1,True,False,188,775,True,True,True
Midday,Set1,Draw1,4,10,3,2,0.0,5,1.0,True,False,False,False,False,False,True,3,5,3,5,1,1,0,0,077:1,770:2,6,5,1,0.0,0,1,2,0,0,0,0.5,1,8,0,1,0.0,25.5,59.0,1,True,False,188,775,True,True,True
Midday,Set1,Draw1,7,10,3,1,0.0,5,0.0,True,False,False,False,False,False,True,3,5,3,5,3,0,0,0,077:1;225:1;2255:1,770:2;225:1;2255:1,6,5,0,0.0,0,0,2,0,0,0,0.5,1,8,1,1,0.0,24.5,59.0,2,True,False,188,775,True,True,True
Midday,Set3,Draw1,4,10,3,2,0.0,7,1.0,True,False,False,False,False,False,True,3,1,3,1,1,1,0,0,077:1,770:2,6,7,1,0.0,0,1,2,0,0,0,0.5,1,4,1,1,0.0,24.5,59.0,2,True,False,188,775,True,True,True
Midday,Set3,Draw1,7,10,2,1,0.0,7,0.0,True,False,False,False,False,False,True,3,1,3,1,1,0,0,0,077:1,770:2,4,7,0,0.0,0,0,2,0,0,0,0.5,1,4,4,1,0.0,23.5,59.0,3,True,False,188,775,True,True,True
Midday,Set1,Draw2,3,10,3,2,0.0,4,1.0,True,False,False,False,False,False,True,3,5,3,5,1,1,0,0,077:1,770:2,6,4,1,0.0,0,1,2,0,0,0,0.5,1,8,0,0,0.0,23.5,59.0,1,False,False,188,775,True,True,True
Midday,Set3,Draw1,3,10,3,2,0.0,7,1.0,True,False,False,False,False,False,True,3,1,3,1,1,1,0,0,077:1,770:2,6,7,1,0.0,0,1,2,0,0,0,0.5,1,4,0,1,0.0,23.5,59.0,1,True,False,188,775,True,True,True
Midday,Set3,Draw1,2,10,3,2,0.0,7,1.0,True,False,False,False,False,False,True,3,1,3,1,1,1,0,0,077:1,770:2,6,7,1,0.0,0,1,2,0,0,0,0.5,1,4,0,1,0.0,23.5,59.0,1,True,False,188,775,True,True,True
Midday,Set2,Draw1,2,10,3,2,0.0,6,1.0,True,False,False,False,False,False,True,3,1,3,1,1,1,0,0,077:1,770:2,6,6,1,0.0,0,1,2,0,0,0,0.5,1,4,0,1,0.0,22.5,59.0,1,True,False,188,775,True,True,True
Midday,Set2,Draw1,3,10,3,2,0.0,6,1.0,True,False,False,False,False,False,True,3,1,3,1,1,1,0,0,077:1,770:2,6,6,1,0.0,0,1,2,0,0,0,0.5,1,4,0,1,0.0,22.5,59.0,1,True,False,188,775,True,True,True
