results_date,state_key,variant,top_event,priority,watchlist_tags,candidate_alert_ids,promoter_alert_ids,a11_star_level_max,a11_star_score_max,a12_pack_sizes,min_implied_set_size,min_cap_lines,strength_max,decay_min,decay_max,merged_rows_total,merged_hits,merged_any_hit_within_decay,merged_hit_types,merged_any_hit_types
2025-12-31,Connecticut4,Combined,ENGINE_GOV,85,ENGINE_GOV,"A01,A04,A11",,2,34.950,,3,12,5,2,3,3,0,N,,
2025-12-31,NewJersey4,Combined,CARRY_PERM,70,CARRY_PERM,"A02,A04,A05",,0,0.000,,3,3,4,2,3,2,0,N,,
2025-12-31,NewYork4,Midday,CARRY_PERM,70,CARRY_PERM,"A01,A04,A05",,0,0.000,,3,3,4,2,3,3,0,N,,
2025-12-31,NorthCarolina4,Combined,CARRY_PERM,70,CARRY_PERM,"A04,A05",A08,0,0.000,,3,0,4,2,3,2,0,N,,
2025-12-31,Ohio4,Midday,CARRY_PERM,70,CARRY_PERM|DBL_BA,"A02,A04,A05",A08,0,0.000,,3,0,4,2,3,2,0,N,,
2025-12-31,SouthCarolina4,Midday,CARRY_PERM,70,CARRY_PERM|IDX_ECHO_CLAMP|IDX_ECHO_BASE|CLAMP_4|CLAMP_ANY,"A04,A05,A09,A12",A08,0,0.000,4,3,0,4,1,3,4,0,N,,
2025-12-31,OntarioCanada4,Midday,DBL_BA,45,DBL_BA,"A02,A05",A08,0,0.000,,3,0,4,2,2,1,0,N,,
2025-12-31,Connecticut4,Evening,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A02,A05,A12",,0,0.000,4,3,3,4,2,2,2,0,N,,
2025-12-31,Michigan4,Evening,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A05,A12",A08,0,0.000,4,3,0,4,2,2,2,0,N,,
2025-12-31,PuertoRico4,Midday,CLAMP_4,25,CLAMP_4|CLAMP_ANY,"A05,A12",,0,0.000,4,3,3,4,2,2,2,0,N,,
2025-12-31,Indiana4,Combined,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,A08,0,0.000,4,4,0,3,2,2,1,0,N,,
2025-12-31,NewYork4,Combined,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,,0,0.000,4,4,5,3,2,2,1,0,N,,
2025-12-31,Virginia4,Midday,CLAMP_4,25,CLAMP_4|CLAMP_ANY,A12,A08,0,0.000,4,4,0,3,2,2,1,0,N,,
