date,state,section,overlap,stable_cols_count,stable_cols,consensus_col1,consensus_col2,cross_section_echo,hot_count,superhot_count,mask_drop,mirror_supported,double_hits,confidence_score,tier,flags,top_tokens,recommended_tokens,top_straights,section_prior,state_prior,why,source
,Connecticut4,Midday,2,3,"[4,3,2]",false,false,1,8,12,15,true,343,16.84,B,[],"[""V1x1_4x1_5x1"",""V1x2_4x1""]","[""V1x2_4x1"",""V1x1_4x1_5x1""]","[""093"",""903"",""687""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=4.700*1.90->8.93; echo=1.000*2.00->2.00; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; doubles=0.278*0.40->0.11; recency_lane=1.000*1.50->1.50; straight_lane=2.000*0.80->1.60; section_prior=1.00,validation_report.json
,Connecticut4,Evening,4,4,"[4,3,2,1]",false,false,0,8,12,22,true,356,21.139,A,[],"[""V2x3_1x1_5x1"",""V2x3_5x1"",""V2x2_1x1"",""V1x2_2x1""]","[""V1x2_2x1"",""V2x2_1x1"",""V2x3_1x1_5x1""]","[""093"",""903"",""687""]",1.0,1.0,overlap=1.609*1.00->1.61; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Connecticut4,Combined,3,3,"[3,2,1]",false,false,1,8,12,21,true,338,23.543,B+,[],"[""V4x2_2x1"",""V1x1_2x1_4x1"",""V1x2_4x1""]","[""V1x2_4x1"",""V1x1_2x1_4x1"",""V4x2_2x1""]","[""093"",""903"",""687""]",1.15,1.0,overlap=1.386*1.00->1.39; stable=6.000*1.90->11.40; echo=1.000*2.00->2.00; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.857*0.80->0.69; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=2.000*0.80->1.60; section_prior=1.15,validation_report.json
,Delaware4,Midday,1,2,"[2,1]",false,false,0,8,12,17,true,469,20.053,C,[],"[""V1x1_2x1_5x1""]","[""V1x1_2x1_5x1""]","[""194"",""041"",""014""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=4.400*1.90->8.36; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; vt_lane_rescue=0.800*1.20->0.96; winner_lane_rescue=1.600*2.50->4.00; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Delaware4,Evening,2,2,"[2,1]",false,false,0,8,12,17,true,459,15.439,B,[],"[""V5x3_2x2_3x1"",""V5x3_2x2""]","[""V5x3_2x2"",""V5x3_2x2_3x1""]","[""194"",""041"",""014""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=4.400*1.90->8.36; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.851*0.40->0.34; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Delaware4,Combined,2,4,"[4,3,2,1]",false,false,0,8,12,10,true,402,22.343,B,[],"[""V2x2_5x2"",""V2x2_5x2_1x1""]","[""V2x2_5x2"",""V2x2_5x2_1x1""]","[""194"",""041"",""014""]",1.15,1.0,overlap=1.099*1.00->1.10; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Florida4,Midday,2,4,"[4,3,2,1]",false,false,0,8,12,8,true,515,19.429,B,[],"[""V4x4_2x2_3x1"",""V4x3_2x2""]","[""V4x3_2x2"",""V4x4_2x2_3x1""]","[""138"",""386"",""836""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Florida4,Evening,0,0,[],false,false,0,8,12,12,true,581,5.755,Z,"[""zero_overlap""]",[],[],"[""138"",""386"",""836""]",1.0,1.0,hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.388*0.40->0.16; vt_only=2.000*1.00->2.00; straight_lane=1.500*0.80->1.20; section_prior=1.00,validation_report.json
,Florida4,Combined,3,4,"[4,3,2,1]",false,false,0,8,12,10,true,685,23.594,B+,[],"[""V2x4_5x2"",""V2x4_5x1"",""V2x2_5x1""]","[""V2x2_5x1"",""V2x4_5x1"",""V2x4_5x2""]","[""138"",""386"",""836""]",1.15,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.500*0.80->0.40; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Indiana4,Midday,1,1,[1],false,false,0,8,12,17,true,691,15.333,C,[],"[""V2x2_3x1_4x1""]","[""V2x2_3x1_4x1""]","[""267"",""762"",""506""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=2.400*1.90->4.56; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.000*1.50->1.50; vt_lane_rescue=0.700*1.20->0.84; winner_lane_rescue=1.400*2.50->3.50; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
