state,area,section,set,draw,col,method,mode,earliest_exact_step,earliest_vtrac_step,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_family_exact_step,earliest_family_vtrac_step,final_value,final_vt_boxed,final_vt_straight,final_exact_match,final_vtrac_match,final_drop_exact_match,final_drop_vtrac_match,final_family_exact_match,final_family_vtrac_match,final_drop_digit,final_vtrac_local_index,match_types
NorthCarolina4,LS1,Evening,Set3,Draw1,6,A,own,-1,1,-1,2,-1,-1,,1,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
NorthCarolina4,LS1,Evening,Set3,Draw1,6,A,combined,-1,1,-1,-1,-1,-1,,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set3,Draw1,6,D,own,-1,1,-1,-1,-1,-1,,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set3,Draw1,6,D,combined,-1,1,-1,-1,-1,-1,,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set3,Draw1,6,E,own,-1,1,-1,-1,-1,-1,,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set3,Draw1,6,E,combined,-1,1,-1,-1,-1,-1,,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set1,Draw5,3,A,own,-1,1,-1,-1,-1,-1,55,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set1,Draw5,3,A,combined,-1,1,-1,-1,-1,-1,,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set1,Draw5,3,B,own,-1,1,-1,-1,-1,-1,,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set1,Draw5,3,B,combined,-1,1,-1,-1,-1,-1,,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set1,Draw5,2,A,own,-1,1,-1,-1,-1,-1,55**,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set1,Draw5,2,A,combined,-1,1,-1,-1,-1,-1,**,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set1,Draw5,2,B,own,-1,1,-1,-1,-1,-1,**,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set1,Draw5,2,B,combined,-1,1,-1,-1,-1,-1,**,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set1,Draw5,1,A,own,-1,1,-1,-1,-1,-1,55**,1,0,0,0,0,0,0,0,,-1,vtrac
NorthCarolina4,LS1,Evening,Set1,Draw5,1,A,combined,-1,1,-1,-1,-1,-1,**,1,0,0,0,0,0,0,0,,-1,vtrac
