best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
013,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",013,0.6255875599432235,0,1.0,combined,1,13.297143,0.9818838624745583,13.297143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
440,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",044,0.538672605206508,0,1.0,combined,2,13.037143,0.9793947398556088,13.037143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
400,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",004,0.538672605206508,0,1.0,combined,3,12.837143,0.9772523136902562,12.837143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
550,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",055,0.46464244743279326,0,1.0,combined,4,10.187143,0.9568749486599412,10.187143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
013,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",013,0.6487008049890769,0,1.0,own,5,10.097143,0.9601244542600316,10.097143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
599,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5358474801013684,0,1.0,combined,6,9.846234,0.9672195927806713,9.846234,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
440,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",044,0.5634067862621936,0,1.0,own,7,9.837143,0.9547139452847008,9.837143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
552,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.4737147309508507,0,1.0,combined,8,9.758571,0.9468429854761713,9.758571,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.6086255542169698,0,1.0,combined,9,9.729451,0.9486463314772078,9.729451,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
553,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",355,0.48167487830004374,0,1.0,combined,10,9.69381,0.9451415251879924,9.69381,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
993,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",399,0.6637386974043528,0,1.0,own,11,9.677143,0.9433347735879051,9.677143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
993,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",399,0.6364525402815664,0,1.0,combined,12,9.677143,0.9433347735879051,9.677143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
400,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",004,0.5634067862621936,0,1.0,own,13,9.637143,0.9500700718647335,9.637143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
994,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.5788599770676062,0,1.0,own,14,9.608571,0.9751542309082204,9.608571,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
994,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.5543087114202767,0,1.0,combined,15,9.608571,0.9751542309082204,9.608571,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
599,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5609454503247162,0,1.0,own,16,9.507143,0.9711709648689577,9.507143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
550,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",055,0.4895848401126353,0,1.0,own,17,9.387143,0.9475772098867018,9.387143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5369778165118267,0,1.0,own,18,9.282597,0.9722235204537708,9.282597,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
244,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",244,0.5531319780689512,0,1.0,combined,19,9.220476,0.9484213366470128,9.220476,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
552,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.4986904791846551,0,1.0,own,20,8.958571,0.9354537020733269,8.958571,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
553,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",355,0.5066662716330296,0,1.0,own,21,8.89381,0.933400162297675,8.89381,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
554,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5858090215649849,0,1.0,combined,22,8.720476,0.9431509522414298,8.720476,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5610401733539897,0,1.0,combined,23,8.51022,0.950628735410969,8.51022,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
522,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",225,0.4933337283669705,0,1.0,combined,24,8.427143,0.9652433350320649,8.427143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
522,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",225,0.5120809815486299,0,1.0,own,25,8.387143,0.9645536478198754,8.387143,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5854979145465631,0,1.0,own,26,8.31022,0.950628735410969,8.31022,Delaware4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
