best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
559,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.4825071423336103,1,1.0,combined,1,10.227143,0.9741351301220716,10.227143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
944,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",449,0.529489544529443,0,1.0,combined,2,10.208571,0.9725770074200857,10.208571,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
594,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",459,0.512185086877203,1,1.0,own,3,9.987143,0.9708854460252453,9.987143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5878295384825115,0,1.0,own,4,9.787143,0.9618456053694837,9.787143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5634067862621936,0,1.0,combined,5,9.537143,0.9568749486599412,9.537143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
940,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",049,0.617747874769249,0,1.0,own,6,9.527143,0.9625869800912908,9.527143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
940,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",049,0.5866175789173301,0,1.0,combined,7,9.447143,0.9610898308636139,9.447143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5033332839514952,1,1.0,own,8,9.427143,0.9684987733220671,9.427143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
944,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",449,0.5543087114202767,0,1.0,own,9,9.408571,0.966606854903467,9.408571,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
594,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",459,0.4870483524806989,1,1.0,combined,10,9.282597,0.9626869755539851,9.282597,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
922,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.6018868796800566,0,1.0,own,11,8.920476,0.9651293095267521,8.920476,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
922,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.5776986807676787,0,1.0,combined,12,8.920476,0.9651293095267521,8.920476,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
220,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",022,0.5266414114504839,0,1.0,own,13,8.89381,0.9451415251879924,8.89381,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
220,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",022,0.5016666604938547,0,1.0,combined,14,8.89381,0.9451415251879924,8.89381,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
994,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.5316243949817686,0,1.0,combined,15,8.727143,0.9473213607494332,8.727143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
003,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",003,0.5990880287436043,0,1.0,combined,16,8.587143,0.9347810893864688,8.587143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
500,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",005,0.5642265441739628,0,1.0,own,17,8.387143,0.9378630316806651,8.387143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
003,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",003,0.6374160773341115,0,1.0,own,18,8.377143,0.9460237850730043,8.377143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
016,6,"exact,vtrac,family_exact,family_vtrac",016,0.5719961329315186,0,1.0,own,19,8.334643,0.9226968957953312,8.334643,Florida4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Midday,0
592,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.6118273690017372,0,1.0,own,20,8.287143,0.9547139452847008,8.287143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
592,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.5878295384825115,0,1.0,combined,21,8.287143,0.9547139452847008,8.287143,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
994,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",499,0.4783468848830998,0,1.0,combined,22,8.170476,0.9417537240329568,8.170476,Florida4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
016,6,"exact,vtrac,family_exact,family_vtrac",016,0.5473576181430894,0,1.0,combined,23,8.134643,0.8868286826846208,8.134643,Florida4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Midday,0
