Location,Method,Mode,Final,Steps
Midday|Set3|Draw1|col7,A,own,,7
Midday|Set3|Draw1|col7,A,combined,,12
Midday|Set3|Draw1|col7,B,own,,7
Midday|Set3|Draw1|col7,B,combined,,12
Midday|Set3|Draw1|col7,C,own,,7
Midday|Set3|Draw1|col7,C,combined,,12
Midday|Set3|Draw1|col7,D,own,,7
Midday|Set3|Draw1|col7,D,combined,,12
Midday|Set3|Draw1|col7,E,own,,7
Midday|Set3|Draw1|col7,E,combined,,12
Midday|Set3|Draw1|col7,T,own,,7
Midday|Set3|Draw1|col7,T,combined,,12
Midday|Set3|Draw1|col6,A,own,,7
Midday|Set3|Draw1|col6,A,combined,,12
Midday|Set3|Draw1|col6,B,own,,7
Midday|Set3|Draw1|col6,B,combined,,12
Midday|Set3|Draw1|col6,C,own,,7
Midday|Set3|Draw1|col6,C,combined,,12
Midday|Set3|Draw1|col6,D,own,,7
Midday|Set3|Draw1|col6,D,combined,,12
Midday|Set3|Draw1|col6,E,own,,7
Midday|Set3|Draw1|col6,E,combined,,12
Midday|Set3|Draw1|col6,T,own,,7
Midday|Set3|Draw1|col6,T,combined,,12
Midday|Set3|Draw1|col5,A,own,,7
Midday|Set3|Draw1|col5,A,combined,,12
Midday|Set3|Draw1|col5,B,own,,7
Midday|Set3|Draw1|col5,B,combined,,12
Midday|Set3|Draw1|col5,C,own,,7
Midday|Set3|Draw1|col5,C,combined,,12
Midday|Set3|Draw1|col5,D,own,,7
Midday|Set3|Draw1|col5,D,combined,,12
Midday|Set3|Draw1|col5,E,own,,7
Midday|Set3|Draw1|col5,E,combined,,12
Midday|Set3|Draw1|col5,T,own,,7
Midday|Set3|Draw1|col5,T,combined,,12
Midday|Set3|Draw1|col4,A,own,*,29
Midday|Set3|Draw1|col4,A,combined,*,57
Midday|Set3|Draw1|col4,B,own,*,29
Midday|Set3|Draw1|col4,B,combined,*,57
Midday|Set3|Draw1|col4,C,own,*,29
Midday|Set3|Draw1|col4,C,combined,*,57
Midday|Set3|Draw1|col4,D,own,*,29
Midday|Set3|Draw1|col4,D,combined,*,57
Midday|Set3|Draw1|col4,E,own,*,29
Midday|Set3|Draw1|col4,E,combined,*,57
Midday|Set3|Draw1|col4,T,own,*,29
Midday|Set3|Draw1|col4,T,combined,*,57
Midday|Set2|Draw1|col7,A,own,,7
Midday|Set2|Draw1|col7,A,combined,,12
Midday|Set2|Draw1|col7,B,own,,7
Midday|Set2|Draw1|col7,B,combined,,12
Midday|Set2|Draw1|col7,C,own,,7
Midday|Set2|Draw1|col7,C,combined,,12
Midday|Set2|Draw1|col7,D,own,,7
Midday|Set2|Draw1|col7,D,combined,,12
Midday|Set2|Draw1|col7,E,own,,14
Midday|Set2|Draw1|col7,E,combined,,14
Midday|Set2|Draw1|col7,T,own,,7
Midday|Set2|Draw1|col7,T,combined,,12
Midday|Set2|Draw1|col6,A,own,,7
Midday|Set2|Draw1|col6,A,combined,,12
Midday|Set2|Draw1|col6,B,own,,7
Midday|Set2|Draw1|col6,B,combined,,12
Midday|Set2|Draw1|col6,C,own,,7
Midday|Set2|Draw1|col6,C,combined,,12
Midday|Set2|Draw1|col6,D,own,,7
Midday|Set2|Draw1|col6,D,combined,,12
Midday|Set2|Draw1|col6,E,own,,8
Midday|Set2|Draw1|col6,E,combined,,13
Midday|Set2|Draw1|col6,T,own,,7
Midday|Set2|Draw1|col6,T,combined,,12
Midday|Set2|Draw1|col5,A,own,,7
Midday|Set2|Draw1|col5,A,combined,,12
Midday|Set2|Draw1|col5,B,own,,7
Midday|Set2|Draw1|col5,B,combined,,12
Midday|Set2|Draw1|col5,C,own,,7
Midday|Set2|Draw1|col5,C,combined,,12
Midday|Set2|Draw1|col5,D,own,,7
Midday|Set2|Draw1|col5,D,combined,,12
Midday|Set2|Draw1|col5,E,own,,7
Midday|Set2|Draw1|col5,E,combined,,12
Midday|Set2|Draw1|col5,T,own,,7
Midday|Set2|Draw1|col5,T,combined,,12
Midday|Set2|Draw1|col4,A,own,*,29
Midday|Set2|Draw1|col4,A,combined,*,57
Midday|Set2|Draw1|col4,B,own,*,29
Midday|Set2|Draw1|col4,B,combined,*,57
Midday|Set2|Draw1|col4,C,own,*,29
Midday|Set2|Draw1|col4,C,combined,*,57
