best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
554,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.47751517520819986,0,1.0,combined,1,18.627143,0.995224437238188,18.627143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
552,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.4746052031862502,1,1.0,combined,2,16.187143,0.9946172067300981,16.187143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
552,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.5922641830607915,1,1.0,own,3,14.027143,0.9860718216444758,14.027143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
554,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.502499979166875,0,1.0,own,4,13.827143,0.9842319273092319,13.827143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
552,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.5801363955312803,1,1.0,combined,5,13.527143,0.9821511695831373,13.527143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
503,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",035,0.5440521498447213,0,1.0,combined,6,13.427143,0.9721487193869992,13.427143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
033,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",033,0.48167487830004374,0,1.0,combined,7,12.94381,0.9755828581972585,12.94381,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
543,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",345,0.6600087775582009,0,1.0,combined,8,12.827143,0.9792925249378165,12.827143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
554,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5531319780689512,0,1.0,combined,9,12.827143,0.9812446222746463,12.827143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
552,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.5982871597548526,1,1.0,own,10,12.687143,0.9778077240050849,12.687143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
533,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",335,0.48167487830004374,0,1.0,combined,11,12.627143,0.9765676601183906,12.627143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
520,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",025,0.4933337283669705,1,1.0,combined,12,12.177143,0.9853629349287075,12.177143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
533,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",335,0.5066662716330296,0,1.0,own,13,11.027143,0.9652433350320649,11.027143,Ohio4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
