state,area,section,set,draw,col,method,mode,earliest_exact_step,earliest_vtrac_step,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_family_exact_step,earliest_family_vtrac_step,final_value,final_vt_boxed,final_vt_straight,final_exact_match,final_vtrac_match,final_drop_exact_match,final_drop_vtrac_match,final_family_exact_match,final_family_vtrac_match,final_drop_digit,final_vtrac_local_index,match_types
NewYork4,LS1,Midday,Set3,Draw1,7,A,own,0,0,0,0,-1,0,41,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,A,combined,0,0,0,0,-1,0,4,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,B,own,0,0,0,0,-1,0,4,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,B,combined,0,0,0,0,-1,0,,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,C,own,0,0,0,0,-1,0,4,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,C,combined,0,0,0,0,-1,0,,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,D,own,0,0,0,0,-1,0,4,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,D,combined,0,0,0,0,-1,0,,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,E,own,0,0,0,0,-1,0,4,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,E,combined,0,0,0,0,-1,0,,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,T,own,0,0,0,0,-1,0,4,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,7,T,combined,0,0,0,0,-1,0,4,0,0,0,0,0,0,0,0,,-1,"drop_exact,drop_vtrac,exact,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,6,A,own,-1,2,-1,2,-1,2,4,1,0,0,0,0,0,0,0,,-1,"drop_vtrac,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,6,B,own,-1,2,-1,2,-1,2,4,1,0,0,0,0,0,0,0,,-1,"drop_vtrac,family_vtrac,vtrac"
NewYork4,LS1,Midday,Set3,Draw1,6,E,own,-1,-1,-1,2,-1,-1,4,1,0,0,0,0,0,0,0,,-1,drop_vtrac
