best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
224,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.5490088057588589,1,1.0,combined,1,21.027143,0.9977413382531277,21.027143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
224,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.5736274542763555,1,1.0,own,2,16.227143,0.9925205763452813,16.227143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
922,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.5675020233593541,0,1.0,combined,3,13.937143,0.9793947398556088,13.937143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
992,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.55519086282318,0,1.0,combined,4,13.337143,0.9722857033481456,13.337143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
559,114,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5998883688639983,0,1.0,own,5,12.937143,0.988352845987577,12.937143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,114,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.550187567185078,0,1.0,combined,6,12.358571,0.9872720057389908,12.358571,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5233920021009967,0,1.0,combined,7,11.596234,0.9724096576621291,11.596234,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
922,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.5918616423862878,0,1.0,own,8,10.937143,0.9627701047905499,10.937143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
922,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.5858090215649849,0,1.0,combined,9,10.577143,0.9616580221163843,10.577143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5482583975040909,0,1.0,own,10,10.396234,0.9724096576621291,10.396234,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
522,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",225,0.5120809815486299,1,1.0,own,11,10.387143,0.9678726287299843,10.387143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
992,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.579730377800418,0,1.0,own,12,10.337143,0.9500700718647335,10.337143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,1
922,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.6038819996942051,0,1.0,own,13,9.937143,0.9547139452847008,9.937143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,1
552,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",255,0.5982871597548526,0,1.0,own,14,9.837143,0.9500700718647335,9.837143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.6118273690017372,0,1.0,combined,15,9.737143,0.9589349975863709,9.737143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
524,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",245,0.6748052725823135,0,1.0,own,16,9.497143,0.9410903376499049,9.497143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5736274542763555,0,1.0,own,17,9.270476,0.970645386911993,9.270476,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
522,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",225,0.4933337283669705,1,1.0,combined,18,9.227143,0.968498773322067,9.227143,Virginia4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
