best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
267,6,"exact,vtrac,family_exact,family_vtrac",267,0.5440521498447213,0,1.0,combined,1,15.334643,0.9803655295584647,15.334643,Connecticut4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Combined,0
244,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",244,0.5978865281623102,0,1.0,own,2,12.777143,0.9741351301220716,12.777143,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
206,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",026,0.6279268802015638,0,1.0,combined,3,12.277143,0.970012070553968,12.277143,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
440,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",044,0.5817593768418363,0,1.0,own,4,11.860476,0.9594016367571543,11.860476,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
267,6,"exact,vtrac,family_exact,family_vtrac",267,0.5687288241300607,0,1.0,own,5,11.334643,0.9475133611869679,11.334643,Connecticut4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Combined,0
924,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.6098464124263923,0,1.0,own,6,10.627143,0.9566634673660789,10.627143,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
220,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",022,0.5354611968069031,0,1.0,combined,7,10.537143,0.9599285819327407,10.537143,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
446,6,"exact,vtrac,family_exact,family_vtrac",446,0.5898470998958403,0,1.0,own,8,10.38131,0.9313586140857297,10.38131,Connecticut4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Evening,0
924,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",249,0.5074994375506203,0,1.0,combined,9,10.227143,0.9787738762076721,10.227143,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
441,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",144,0.5283030450758287,0,1.0,own,10,10.110476,0.9649575819966051,10.110476,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,1
992,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5419251362305247,0,1.0,own,11,9.958571,0.9657759690784732,9.958571,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,1
559,72,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.6410674063348171,1,1.0,own,12,9.777143,0.9728270272003616,9.777143,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,72,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.6118273690017372,1,1.0,combined,13,9.737143,0.9722857033481457,9.737143,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
922,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.5918616423862878,1,1.0,own,14,9.687143,0.9462857624303807,9.687143,Connecticut4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
