best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
558,12,"exact,vtrac,family_exact,family_vtrac",558,0.6050774189417375,0,1.0,combined,1,18.314643,0.9914760370308205,18.314643,Michigan4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Combined,0
558,12,"exact,vtrac,family_exact,family_vtrac",558,0.6287053299097083,0,1.0,own,2,13.514643,0.9719765504436572,13.514643,Michigan4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Combined,0
554,60,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5324543063873187,1,1.0,combined,3,12.977143,0.9896630939394229,12.977143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5572478545985555,0,1.0,combined,4,12.777143,0.9885821584459533,12.777143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5817593768418363,0,1.0,own,5,11.977143,0.9860718216444758,11.977143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
577,6,"exact,vtrac,family_exact,family_vtrac",577,0.5801363955312803,0,1.0,own,6,11.664643,0.9553185511510992,11.664643,Michigan4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Midday,0
554,60,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5199893401555818,0,1.0,own,7,11.627143,0.9787738762076721,11.627143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
594,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",459,0.5374298453437496,0,1.0,combined,8,11.147143,0.9526788436890775,11.147143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
554,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5074994375506203,1,1.0,combined,9,10.727143,0.9797986301478435,10.727143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
592,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.6467993925579857,0,1.0,combined,10,10.687143,0.9760999521718934,10.687143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
544,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",445,0.5572478545985555,0,1.0,combined,11,10.577143,0.9771395937470586,10.577143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.6410674063348171,0,1.0,combined,12,10.527143,0.9692645888694489,10.527143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
554,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.5253354261921256,1,1.0,own,13,10.358571,0.9757602402625118,10.358571,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
559,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.4950001666600003,1,1.0,combined,14,10.327143,0.9797986301478435,10.327143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
554,36,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",455,0.6410674063348171,0,1.0,combined,15,10.277143,0.9684987733220671,10.277143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
577,6,"exact,vtrac,family_exact,family_vtrac",577,0.5556024148191651,0,1.0,combined,16,10.264643,0.9553185511510992,10.264643,Michigan4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Midday,0
544,42,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",445,0.5817593768418363,0,1.0,own,17,10.027143,0.9753810469886989,10.027143,Michigan4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
