best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
559,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.4783468848830998,1,1.0,combined,1,19.627143,0.9971007508686166,19.627143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
599,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.47751517520819986,0,1.0,combined,2,18.677143,0.9953420716969065,18.677143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
948,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",489,0.569546223939229,0,1.0,combined,3,16.777143,0.9882948060691263,16.777143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
488,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",488,0.5074994375506203,0,1.0,combined,4,16.54381,0.9909475753444578,16.54381,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,54,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5033332839514952,1,1.0,own,5,14.827143,0.9904064199688634,14.827143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
599,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.502499979166875,0,1.0,own,6,13.877143,0.9846182482369833,13.877143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
559,24,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.6255875599432235,0,1.0,combined,7,13.727143,0.9873889054253283,13.727143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
944,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",449,0.4866698262617676,1,1.0,combined,8,13.227143,0.9825880221410839,13.227143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
559,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.5776986807676787,0,1.0,combined,9,12.877143,0.9849951757990794,12.877143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
948,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",489,0.5938731029341427,0,1.0,own,10,12.777143,0.968498773322067,12.777143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
488,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",488,0.5324543063873187,0,1.0,own,11,12.54381,0.9755828581972585,12.54381,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
944,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",449,0.5116645498437119,1,1.0,own,12,12.427143,0.9787738762076721,12.427143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
599,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5523079095743253,0,1.0,combined,13,12.027143,0.9771395937470585,12.027143,Indiana4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
