area,section,set,draw,col,method,mode,dr_win_exact,dr_win_vtrac,dr_win_drop_exact,dr_win_drop_vtrac,dr_win_family_exact,dr_win_family_vtrac,dr_win_step_exact,dr_win_step_vtrac,dr_win_step_drop_exact,dr_win_step_drop_vtrac,dr_win_step_family_exact,dr_win_step_family_vtrac,dr_win_final_value,dr_win_drop_digit,dr_win_vtrac_local_index,dr_win_vt_boxed,dr_win_vt_straight
LS1,Midday,Set3,Draw1,7,A,own,0,1,0,1,0,0,-1,2,-1,1,-1,-1,41,,-1,1,0
LS1,Midday,Set3,Draw1,7,A,combined,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,4,,-1,1,0
LS1,Midday,Set3,Draw1,7,B,own,0,1,0,1,0,0,-1,2,-1,1,-1,-1,4,,-1,1,0
LS1,Midday,Set3,Draw1,7,B,combined,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,,,-1,1,0
LS1,Midday,Set3,Draw1,7,E,own,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,4,,-1,1,0
LS1,Midday,Set3,Draw1,7,E,combined,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,,,-1,1,0
LS1,Midday,Set3,Draw1,6,E,own,1,1,1,1,0,0,2,2,2,2,-1,-1,4,,-1,1,0
LS1,Midday,Set3,Draw1,5,E,own,1,1,1,1,0,0,2,2,2,2,-1,-1,4,,-1,1,0
LS1,Midday,Set2,Draw1,7,B,own,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,4,,-1,1,0
LS1,Midday,Set2,Draw1,7,B,combined,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,,,-1,1,0
LS1,Midday,Set2,Draw1,7,E,own,1,1,0,1,0,0,2,2,-1,3,-1,-1,4,,-1,1,0
LS1,Midday,Set2,Draw1,7,E,combined,1,1,0,1,0,0,3,3,-1,2,-1,-1,,,-1,1,0
LS1,Midday,Set2,Draw1,6,B,own,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,4,,-1,1,0
LS1,Midday,Set2,Draw1,6,B,combined,0,0,0,1,0,0,-1,-1,-1,1,-1,-1,,,-1,1,0
LS1,Midday,Set2,Draw1,6,E,own,1,1,0,0,0,0,2,2,-1,-1,-1,-1,4,,-1,1,0
LS1,Midday,Set2,Draw1,6,E,combined,0,0,0,1,0,0,-1,-1,-1,2,-1,-1,,,-1,1,0
LS1,Midday,Set1,Draw1,7,E,own,1,1,0,0,0,0,2,2,-1,-1,-1,-1,94,,-1,1,0
LS1,Midday,Set1,Draw1,6,E,own,1,1,0,0,0,0,2,2,-1,-1,-1,-1,94,,-1,1,0
LS1,Midday,Set1,Draw2,6,E,own,1,1,0,0,0,0,2,2,-1,-1,-1,-1,9944,,124,1,0
