best_pattern,boxes_involved,evidence_tags,family_id,final_prob,funnel_precol1,lockscore_prob,mode,rank,score,score_baseline,score_v2,state,steps_summary,variant,vt_only_lane
922,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.4991666674382707,1,1.0,combined,1,12.977143,0.9880002655450322,12.977143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
992,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.6098464124263923,1,1.0,own,2,12.177143,0.9714537242590623,12.177143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
992,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5736274542763555,0,1.0,combined,3,11.977143,0.9765676601183906,11.977143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
221,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",122,0.5514835536611825,0,1.0,combined,4,11.827143,0.9660869289795984,11.827143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
211,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",112,0.5514835536611825,0,1.0,combined,5,11.727143,0.9643791367189491,11.727143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
113,6,"exact,vtrac,family_exact,family_vtrac",113,0.5523079095743253,0,1.0,combined,6,10.764643,0.9429896338136229,10.764643,SouthCarolina4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Combined,0
922,48,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",229,0.5241478655622194,1,1.0,own,7,10.577143,0.9782423799658522,10.577143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
599,90,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5324543063873187,0,1.0,own,8,10.377143,0.9734890371458025,10.377143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
599,90,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",599,0.5043748883497735,0,1.0,combined,9,10.377143,0.9734890371458025,10.377143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
221,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",122,0.5760714244567121,0,1.0,own,10,10.227143,0.9498260756930403,10.227143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
211,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",112,0.5760714244567121,0,1.0,own,11,10.127143,0.9473213607494332,10.127143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
992,30,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5858090215649849,1,1.0,combined,12,9.977143,0.9652433350320649,9.977143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
592,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.6294831119673949,0,1.0,own,13,9.827143,0.955590757832928,9.827143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
211,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",112,0.5576590197447474,0,1.0,combined,14,9.737143,0.9524472851171415,9.737143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
992,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",299,0.5978865281623102,0,1.0,own,15,9.577143,0.9577108258246346,9.577143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
913,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",139,0.7143624294910559,0,1.0,combined,16,9.51381,0.9469783380458796,9.51381,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
211,12,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",112,0.5882332892405959,0,1.0,own,17,9.377143,0.9533669369540613,9.377143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
113,6,"exact,vtrac,family_exact,family_vtrac",113,0.5768852611320463,0,1.0,own,18,9.164643,0.9161263981132405,9.164643,SouthCarolina4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Combined,0
559,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",559,0.6467993925579857,0,1.0,own,19,9.087143,0.9436094240597149,9.087143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
998,18,"exact,vtrac,family_exact,family_vtrac",899,0.6637386974043528,0,1.0,own,20,8.814643,0.9140943282551109,8.814643,SouthCarolina4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Evening,0
998,18,"exact,vtrac,family_exact,family_vtrac",899,0.6410674063348171,0,1.0,combined,21,8.814643,0.9140943282551109,8.814643,SouthCarolina4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Evening,0
224,6,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",224,0.5906532827008858,0,1.0,own,22,8.797143,0.9381633592242486,8.797143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Midday,0
592,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.6058736684317607,0,1.0,combined,23,8.727143,0.955590757832928,8.727143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Evening,0
592,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",259,0.6410674063348171,0,1.0,combined,24,8.577143,0.9166271890919516,8.577143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
591,18,"exact,vtrac,drop_exact,drop_vtrac,family_exact,family_vtrac",159,0.6892609976543355,0,1.0,combined,25,8.527143,0.926061581406646,8.527143,SouthCarolina4,exact:1;vtrac:1;drop_exact:1;drop_vtrac:1;family_exact:1;family_vtrac:1,Combined,0
013,12,"exact,vtrac,family_exact,family_vtrac",013,0.6711372858206359,0,1.0,combined,26,8.484643,0.9245334977841709,8.484643,SouthCarolina4,exact:1;vtrac:1;drop_exact:-1;drop_vtrac:-1;family_exact:1;family_vtrac:1,Combined,0
