state,area,section,set,draw,col,method,mode,earliest_exact_step,earliest_vtrac_step,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_family_exact_step,earliest_family_vtrac_step,final_value,final_vt_boxed,final_vt_straight,final_exact_match,final_vtrac_match,final_drop_exact_match,final_drop_vtrac_match,final_family_exact_match,final_family_vtrac_match,final_drop_digit,final_vtrac_local_index,match_types
Virginia4,LS1,Midday,Set1,Draw4,4,E,combined,-1,4,-1,3,-1,4,,1,0,0,0,0,0,0,0,,-1,"drop_vtrac,family_vtrac,vtrac"
Virginia4,LS1,Midday,Set1,Draw4,2,B,combined,-1,-1,-1,2,-1,-1,**,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS1,Midday,Set1,Draw4,2,E,combined,-1,-1,-1,2,-1,-1,**,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS1,Midday,Set1,Draw5,3,B,combined,-1,-1,-1,2,-1,-1,,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS1,Midday,Set1,Draw5,3,D,combined,-1,2,-1,-1,-1,2,,1,0,0,0,0,0,0,0,,-1,"family_vtrac,vtrac"
Virginia4,LS1,Midday,Set1,Draw5,2,B,combined,-1,-1,-1,2,-1,-1,**,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS1,Midday,Set1,Draw5,2,D,combined,-1,2,-1,-1,-1,2,**,1,0,0,0,0,0,0,0,,-1,"family_vtrac,vtrac"
Virginia4,LS1,Midday,Set1,Draw5,2,E,combined,-1,-1,-1,2,-1,-1,**,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS1,Midday,Set1,Draw5,1,B,combined,-1,-1,-1,2,-1,-1,**,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS1,Midday,Set1,Draw5,1,D,combined,-1,2,-1,-1,-1,2,**,1,0,0,0,0,0,0,0,,-1,"family_vtrac,vtrac"
Virginia4,LS1,Midday,Set1,Draw5,1,E,combined,-1,-1,-1,2,-1,-1,**,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS1,Midday,Set1,Draw6,2,B,combined,-1,-1,-1,2,-1,-1,,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS1,Midday,Set1,Draw6,2,D,combined,-1,2,-1,-1,-1,2,,1,0,0,0,0,0,0,0,,-1,"family_vtrac,vtrac"
Virginia4,LS1,Midday,Set1,Draw6,2,E,combined,-1,-1,-1,2,-1,-1,,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS1,Midday,Set1,Draw7,1,D,own,-1,2,-1,2,-1,-1,,1,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Virginia4,LS1,Midday,Set1,Draw7,1,D,combined,-1,2,-1,2,-1,-1,,1,0,0,0,0,0,0,0,,-1,"drop_vtrac,vtrac"
Virginia4,LS1,Midday,Set1,Draw7,1,E,combined,-1,3,-1,3,-1,3,,1,0,0,0,0,0,0,0,,-1,"drop_vtrac,family_vtrac,vtrac"
Virginia4,LS2,Midday,Set1,Draw4,3,B,combined,-1,-1,-1,2,-1,-1,,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS2,Midday,Set1,Draw6,1,B,combined,-1,-1,-1,2,-1,-1,*,1,0,0,0,0,0,0,0,,-1,drop_vtrac
Virginia4,LS2,Midday,Set1,Draw6,1,D,combined,-1,2,-1,-1,-1,2,*,1,0,0,0,0,0,0,0,,-1,"family_vtrac,vtrac"
Virginia4,LS2,Midday,Set1,Draw6,1,E,combined,-1,-1,-1,2,-1,-1,*,1,0,0,0,0,0,0,0,,-1,drop_vtrac
