state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
Indiana4,2025-06-24,167,223,23,23,12,5,19,12,0,15,3,1,12,3,3,6,21.813,36.65,"col1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical5,vt_only_lane,vt_straight"
Indiana4,2025-06-24,237,334,21,21,12,3,14,7,7,16,1,1,14,3,3,6,22.976,34.75,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Indiana4,2025-06-24,023,134,37,37,10,4,26,2,13,17,2,0,14,3,3,7,19.942,34.35,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,011,12,31,31,8,4,24,1,8,18,0,0,13,2,3,7,21.261,33.45,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Indiana4,2025-06-24,147,235,49,49,6,4,35,1,12,18,6,0,11,3,3,7,19.377,32.9,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,049,155,32,32,17,4,28,5,2,7,3,0,2,3,3,7,14.856,32.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,488,45,57,57,22,4,42,11,16,9,3,0,0,3,3,7,17.854,32.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,027,133,22,22,0,5,11,1,7,13,1,0,12,2,3,7,21.214,32.0,"col1,funnel_precol1,hot12,hot16,hot20,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical3,vertical5,vt_only_lane,vt_straight"
Indiana4,2025-06-24,459,155,32,32,17,4,28,3,2,5,5,0,0,3,3,7,14.166,31.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,889,45,50,50,22,4,42,11,19,8,0,0,0,3,3,7,18.424,31.45,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Indiana4,2025-06-24,135,124,40,40,6,5,25,0,4,18,9,0,9,3,3,7,18.409,31.3,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical5,vt_only_lane,vt_straight"
Indiana4,2025-06-24,469,255,22,22,7,4,18,1,7,9,4,0,0,2,3,7,18.55,31.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,489,455,47,47,25,4,42,8,11,11,4,0,0,3,3,7,16.704,30.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,126,223,12,12,1,1,8,1,0,4,4,1,0,3,3,6,17.579,30.65,"col1,guard_set1,hot12,hot16,hot20,hot8,ls2_lane,set1_bonus,superhot_set1,vertical1,vt_only_lane,vt_straight"
Indiana4,2025-06-24,008,14,18,18,3,4,12,4,4,4,4,0,0,2,3,7,19.264,30.4,"col1,funnel_precol1,hot12,hot16,hot20,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,688,24,50,50,20,4,39,10,21,7,0,0,0,3,3,7,19.566,30.2,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical3,vertical4,vt_straight"
Indiana4,2025-06-24,339,45,57,57,22,4,42,3,5,9,9,0,0,3,3,7,16.139,29.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,349,455,47,47,25,2,42,5,8,11,11,0,0,3,3,7,16.072,29.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
Indiana4,2025-06-24,334,45,50,50,22,4,42,3,5,8,8,0,0,3,3,7,15.972,29.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,689,245,57,57,23,4,49,7,10,14,4,0,3,3,3,7,16.639,29.5,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Indiana4,2025-06-24,278,334,8,8,1,1,3,0,1,2,2,1,0,2,3,5,18.125,24.8,"funnel_precol1,guard_set1,hot16,hot20,hot8,set1_bonus,superhot_set1,vertical1,vt_only_lane,vt_straight"
