state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
PuertoRico4,2025-06-24,138,244,22,22,12,5,14,7,6,15,0,1,13,3,3,6,21.998,35.65,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vertical5,vt_straight"
PuertoRico4,2025-06-24,007,13,63,63,20,4,41,14,18,14,0,1,12,3,3,7,20.744,35.25,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
PuertoRico4,2025-06-24,445,15,27,27,8,5,20,2,13,14,0,0,14,3,3,7,19.826,33.45,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical5,vt_straight"
PuertoRico4,2025-06-24,588,14,29,29,6,3,24,1,8,13,0,0,13,3,3,7,19.55,33.45,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vt_straight"
PuertoRico4,2025-06-24,224,35,53,53,14,4,43,6,16,6,3,0,0,3,3,7,20.297,31.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical3,vertical4,vt_only_lane,vt_straight"
PuertoRico4,2025-06-24,155,12,20,20,3,3,13,1,7,14,2,0,12,3,3,7,20.685,31.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-24,019,125,31,31,3,4,17,1,11,14,1,0,11,3,3,7,20.094,31.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
PuertoRico4,2025-06-24,223,34,65,65,24,3,58,9,16,6,0,0,0,3,3,7,17.872,31.15,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_straight"
PuertoRico4,2025-06-24,027,133,54,54,10,4,31,2,10,9,2,0,0,3,3,7,18.593,30.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical4,vt_only_lane,vt_straight"
PuertoRico4,2025-06-24,022,13,52,52,15,4,43,5,18,7,0,0,0,3,3,7,18.164,30.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
PuertoRico4,2025-06-24,234,345,45,45,18,2,36,5,6,5,2,0,0,3,3,7,17.574,30.85,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vt_only_lane,vt_straight"
PuertoRico4,2025-06-24,368,244,10,10,1,3,3,0,2,3,1,1,0,3,3,5,18.045,30.75,"funnel_precol1,guard_set1,hot16,hot20,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-24,289,345,59,59,17,3,43,6,11,4,3,0,0,3,3,7,17.708,30.1,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-24,789,345,45,45,18,3,36,9,0,5,4,0,0,3,3,7,17.29,30.1,"col1,hot12,hot16,hot20,hot4,hot8,ls2_lane,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
