state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
Virginia4,2025-06-24,577,13,62,62,25,3,46,12,2,18,6,1,12,3,3,7,18.043,35.25,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
Virginia4,2025-06-24,188,24,17,17,13,4,16,7,7,13,0,1,13,3,2,5,22.835,35.15,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Virginia4,2025-06-24,579,135,75,75,26,4,52,2,11,25,12,0,13,3,3,7,17.926,34.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-24,358,144,26,26,6,4,19,2,12,14,0,0,14,3,3,7,21.929,34.65,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_straight"
Virginia4,2025-06-24,379,345,25,25,0,5,15,1,6,13,2,0,11,3,3,7,21.4,33.2,"col1,funnel_precol1,hot12,hot16,hot20,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical3,vertical4,vertical5,vt_only_lane,vt_straight"
Virginia4,2025-06-24,389,445,30,30,0,5,20,1,8,17,0,0,17,3,3,7,22.418,32.9,"col1,funnel_precol1,hot12,hot16,hot20,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical3,vertical4,vertical5,vt_straight"
Virginia4,2025-06-24,045,115,46,46,10,4,28,4,9,19,12,0,0,3,3,7,19.46,32.05,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-24,445,15,35,35,6,4,31,0,11,11,0,0,0,3,3,6,19.977,31.55,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
Virginia4,2025-06-24,244,35,48,48,20,4,44,10,18,11,0,0,0,3,3,7,19.857,30.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical3,vertical4,vt_straight"
Virginia4,2025-06-24,245,135,73,73,15,4,53,4,17,25,6,0,0,3,3,7,18.869,30.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-24,347,345,32,32,1,5,15,0,2,10,2,0,8,3,3,6,19.822,30.9,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vertical5,vt_only_lane,vt_straight"
Virginia4,2025-06-24,059,115,46,46,10,4,28,4,11,19,12,0,0,3,3,7,20.112,30.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
Virginia4,2025-06-24,022,13,58,58,21,3,42,6,13,6,6,1,0,3,3,7,17.392,30.5,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical2,vertical3,vt_only_lane,vt_straight"
Virginia4,2025-06-24,224,35,60,60,22,3,45,12,21,6,0,0,0,3,3,7,19.434,30.1,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical3,vt_straight"
Virginia4,2025-06-24,026,123,51,51,22,3,37,5,10,5,4,0,0,3,3,7,16.845,30.1,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
