date,state,variant,winner,exact_straight,exact_boxed,vt_boxed,vt_straight,best_compound_rank,winner_family_rank,vt_only_lane,funnel_precol1,vtrac_index,vtrac_source
2025-06-23,Connecticut4,Midday,130,True,True,True,False,988.0,1335.0,,,8,sharepacks/2025-06-23/Connecticut4/winners/Connecticut4_vtrac8_winner_130_20251114_010829.html
2025-06-23,Connecticut4,Evening,938,True,True,True,False,510.0,1068.0,False,0.0,33,sharepacks/2025-06-23/Connecticut4/winners/Connecticut4_vtrac33_winner_938_20251114_010830.html
2025-06-23,Delaware4,Midday,669,True,True,True,False,1020.0,1409.0,False,0.0,19,sharepacks/2025-06-23/Delaware4/winners/Delaware4_vtrac19_winner_669_20251114_010831.html
2025-06-23,Delaware4,Evening,919,True,True,True,False,57.0,1412.0,False,0.0,25,sharepacks/2025-06-23/Delaware4/winners/Delaware4_vtrac25_winner_919_20251114_010831.html
2025-06-23,Florida4,Midday,665,True,True,True,True,115.0,1400.0,False,0.0,6,sharepacks/2025-06-23/Florida4/winners/Florida4_vtrac6_winner_665_20251114_010832.html
2025-06-23,Florida4,Evening,465,True,True,True,True,362.0,1386.0,False,1.0,9,sharepacks/2025-06-23/Florida4/winners/Florida4_vtrac9_winner_465_20251114_010832.html
2025-06-23,Indiana4,Midday,110,True,True,True,False,46.0,1226.0,,,6,sharepacks/2025-06-23/Indiana4/winners/Indiana4_vtrac6_winner_110_20251114_010833.html
2025-06-23,Indiana4,Evening,32,False,False,False,False,,,False,0.0,,
2025-06-23,Michigan4,Midday,392,True,True,True,True,349.0,1194.0,False,0.0,30,sharepacks/2025-06-23/Michigan4/winners/Michigan4_vtrac30_winner_392_20251114_010834.html
2025-06-23,Michigan4,Evening,964,True,True,True,False,184.0,1272.0,,,25,sharepacks/2025-06-23/Michigan4/winners/Michigan4_vtrac25_winner_964_20251114_010835.html
2025-06-23,NewJersey4,Midday,106,True,True,True,False,81.0,1345.0,,,6,sharepacks/2025-06-23/NewJersey4/winners/NewJersey4_vtrac6_winner_106_20251114_010835.html
2025-06-23,NewJersey4,Evening,152,True,True,True,False,976.0,1385.0,False,0.0,7,sharepacks/2025-06-23/NewJersey4/winners/NewJersey4_vtrac7_winner_152_20251114_010836.html
2025-06-23,NewYork4,Midday,638,True,True,True,False,322.0,1378.0,False,0.0,23,sharepacks/2025-06-23/NewYork4/winners/NewYork4_vtrac23_winner_638_20251114_010837.html
2025-06-23,NewYork4,Evening,767,True,True,True,True,421.0,1292.0,False,0.0,20,sharepacks/2025-06-23/NewYork4/winners/NewYork4_vtrac20_winner_767_20251114_010837.html
2025-06-23,NorthCarolina4,Midday,920,True,True,True,False,521.0,1268.0,,,12,sharepacks/2025-06-23/NorthCarolina4/winners/NorthCarolina4_vtrac12_winner_920_20251114_010838.html
2025-06-23,NorthCarolina4,Evening,145,True,True,True,True,23.0,1380.0,False,0.0,9,sharepacks/2025-06-23/NorthCarolina4/winners/NorthCarolina4_vtrac9_winner_145_20251114_010838.html
2025-06-23,Ohio4,Midday,734,True,True,True,True,92.0,1427.0,True,0.0,30,sharepacks/2025-06-23/Ohio4/winners/Ohio4_vtrac30_winner_734_20251114_010839.html
2025-06-23,Ohio4,Evening,368,False,True,True,False,298.0,1284.0,False,0.0,23,sharepacks/2025-06-23/Ohio4/winners/Ohio4_vtrac23_winner_368_20251114_010840.html
2025-06-23,OntarioCanada4,Midday,325,False,False,True,False,,1281.0,,,11,sharepacks/2025-06-23/OntarioCanada4/winners/OntarioCanada4_vtrac11_winner_325_20251114_010840.html
2025-06-23,OntarioCanada4,Evening,438,True,True,True,False,1314.0,1130.0,False,0.0,33,sharepacks/2025-06-23/OntarioCanada4/winners/OntarioCanada4_vtrac33_winner_438_20251114_010841.html
2025-06-23,Pennsylvania4,Midday,164,False,False,True,False,,1443.0,,,19,sharepacks/2025-06-23/Pennsylvania4/winners/Pennsylvania4_vtrac19_winner_164_20251114_010842.html
2025-06-23,Pennsylvania4,Evening,40,False,False,False,False,,,,,,
2025-06-23,PuertoRico4,Midday,858,False,False,True,False,,1339.0,,,13,sharepacks/2025-06-23/PuertoRico4/winners/PuertoRico4_vtrac13_winner_858_20251114_010843.html
2025-06-23,PuertoRico4,Evening,454,True,True,True,True,116.0,1205.0,False,0.0,15,sharepacks/2025-06-23/PuertoRico4/winners/PuertoRico4_vtrac15_winner_454_20251114_010843.html
2025-06-23,SouthCarolina4,Midday,958,True,True,True,True,141.0,1425.0,False,0.0,14,sharepacks/2025-06-23/SouthCarolina4/winners/SouthCarolina4_vtrac14_winner_958_20251114_010843.html
2025-06-23,SouthCarolina4,Evening,314,True,True,True,True,81.0,1362.0,False,0.0,24,sharepacks/2025-06-23/SouthCarolina4/winners/SouthCarolina4_vtrac24_winner_314_20251114_010844.html
2025-06-23,Virginia4,Midday,579,False,False,True,False,,1298.0,,,12,sharepacks/2025-06-23/Virginia4/winners/Virginia4_vtrac12_winner_579_20251114_010845.html
2025-06-23,Virginia4,Evening,385,True,True,True,False,317.0,1371.0,False,0.0,13,sharepacks/2025-06-23/Virginia4/winners/Virginia4_vtrac13_winner_385_20251114_010846.html
